Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,panel
Austria,,0.4,0.42,,0.49,,0.51,,0.56,,left
Canada,,,,,,,,,,,left
Denmark,0.43,,0.29,,0.48,0.53,0.53,0.52,0.55,,left
Finland,,,,,,,,,,,left
Germany,,,,,,,,,,,left
Israel,0.59,0.6,0.59,0.56,0.41,0.4,0.4,0.4,0.39,,left
Japan,0.4,0.4,0.4,0.39,0.42,0.39,0.41,0.42,0.44,0.44,left
Korea,0.4,0.43,0.47,0.5,0.59,0.63,0.68,0.74,0.75,0.76,left
Sweden,,,,,,,,,,,left
Taiwan (Chinese Taipei),0.24,0.25,0.25,0.27,0.29,0.28,0.28,0.28,0.28,0.27,left
US,0.47,0.45,0.47,0.49,0.51,0.5,0.47,0.45,0.48,,left
OECD Average,,,,,,,,,,,left
Canada,,,,,,,,,,,right
France,0.49,0.49,0.5,0.52,0.58,0.55,0.53,0.54,0.54,,right
Germany,,,,,,,,,,,right
Italy,0.29,0.31,0.3,0.31,0.33,0.31,0.29,0.32,0.33,,right
Japan,0.4,0.4,0.4,0.39,0.42,0.39,0.41,0.42,0.44,0.44,right
Russia,0.14,0.16,0.19,0.19,0.25,0.21,0.19,0.17,0.17,0.18,right
UK,,,0.18,0.18,0.19,0.18,0.16,0.17,0.18,,right
US,0.47,0.45,0.47,0.49,0.51,0.5,0.47,0.45,0.48,,right
G8 Average,0.357728598,0.362152053,0.339598739,0.347288666,0.379300247,0.357411369,0.343203685,0.34609826,0.358608059,0.311368708,right
