Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,panel
Austria,7.35,7.41,7.89,8.44,8.51,8.92,8.91,9.43,9.56,9.74,lu
Canada,8.32,8.42,8.86,9.05,8.8,9.13,9.35,9.06,8.82,,lu
Denmark,10.23,10.25,10.49,12.27,13.03,13.57,14.22,14.63,14.7,14.7,lu
Finland,16.42,16.46,15.56,15.95,16.33,16.68,15.9,15.95,15.56,15.33,lu
Germany,6.92,7.06,7.21,7.41,7.76,8,8.15,8.38,8.37,8.22,lu
Israel,,,,,,,15.7,17.38,,,lu
Japan,10.38,10.4,10.35,10,10.15,10.17,10.21,10.03,10.18,10.47,lu
Korea,7.87,8.64,9.47,10.02,10.38,11.08,11.92,12.79,12.84,13.49,lu
Sweden,12.65,12.6,10.13,11,10.62,10.96,10.6,10.65,13.74,14.07,lu
Taiwan (Chinese Taipei),8.94,9.41,10.08,10.62,11.63,12.23,12.58,12.9,12.87,12.91,lu
US,7.65,7.71,7.64,8.07,8.8,8.48,8.81,8.73,8.95,,lu
OECD Average,6.91,7,6.98,7.15,7.49,7.48,7.67,7.78,7.96,,lu
Austria,4.33,4.62,4.39,4.39,4.5,4.29,4.07,3.92,3.88,3.88,lb
Canada,6.12,5.82,5.77,5.64,6.1,6.06,5.72,5.87,5.72,,lb
Denmark,7.47,7.53,3.99,3.25,3.03,3.25,3.01,3.01,3.11,3.07,lb
Finland,11.05,11.06,11.49,11.11,11.03,10.99,11.58,10.95,11.43,10.68,lb
Germany,14.67,14.83,14.98,14.98,15.52,15.79,16,15.78,16.01,15.05,lb
Israel,,,,,,,0.86,0.79,,,lb
Japan,5,4.9,4.78,4.88,4.99,4.94,4.9,4.88,4.68,4.45,lb
Korea,7.11,7.03,7.15,6.59,7.46,7.48,7.34,7.04,7.24,7.16,lb
Sweden,5.33,5.46,4.24,3.52,3.13,3.84,4.31,4.06,3.72,3.46,lb
Taiwan (Chinese Taipei),15.52,14.64,13.78,12.59,12.03,11.79,10.91,10.44,10.34,10.32,lb
US,,,,,,,,,,,lb
OECD Average,7.91,7.88,7.85,7.72,7.87,8.01,7.86,7.72,7.55,,lb
Canada,8.32,8.42,8.86,9.05,8.8,9.13,9.35,9.06,8.82,,ur
France,7.68,7.9,8.2,8.38,8.72,9.05,9.19,9.52,9.79,9.88,ur
Germany,6.92,7.06,7.21,7.41,7.76,8,8.15,8.38,8.37,8.22,ur
Italy,3.37,3.54,3.68,3.78,4.09,4.18,4.27,4.47,4.78,4.93,ur
Japan,10.38,10.4,10.35,10,10.15,10.17,10.21,10.03,10.18,10.47,ur
Russia,6.8,6.71,6.63,6.35,6.37,6.32,6.32,6.2,6.17,6.22,ur
UK,8.62,8.72,8.6,8.5,8.79,8.78,8.56,8.63,8.91,8.9,ur
US,7.65,7.71,7.64,8.07,8.8,8.48,8.81,8.73,8.95,,ur
G8 Average,7.47,7.56,7.65,7.69,7.93,8.01,8.11,8.13,8.25,8.1,ur
Canada,6.12,5.82,5.77,5.64,6.1,6.06,5.72,5.87,5.72,,br
France,12.78,12.18,11.96,12.02,12.25,10.93,10.76,10.59,10.6,10.91,br
Germany,14.67,14.83,14.98,14.98,15.52,15.79,16,15.78,16.01,15.05,br
Italy,17.52,18.76,18.59,16.24,16.38,16.92,17.69,18.52,18.35,18.02,br
Japan,5,4.9,4.78,4.88,4.99,4.94,4.9,4.88,4.68,4.45,br
Russia,33.33,33.08,32.63,32.35,33.06,32.81,31.63,33.75,32.86,32.53,br
UK,3.75,3.52,3.37,3.45,3.4,3.36,3.01,3.02,2.85,2.79,br
US,,,,,,,,,,,br
G8 Average,13.31,13.3,13.15,12.8,13.1,12.97,12.82,13.2,13.01,13.96,br
