Country,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Austria,2.183,2.174,2.383,2.371,2.432,2.586,2.614,2.738,2.682,2.929,2.964,3.067
Canada,1.975,2.004,1.978,1.949,1.909,1.86,1.922,1.838,1.799,1.794,1.69,1.613
Denmark,2.511,2.42,2.393,2.402,2.515,2.78,3.069,2.937,2.966,3.001,3.057,3.051
Finland,3.302,3.315,3.33,3.338,3.346,3.547,3.749,3.726,3.639,3.419,3.287,3.172
France,2.111,2.086,2.044,2.045,2.02,2.058,2.209,2.175,2.191,2.229,2.243,2.256
Germany,2.457,2.421,2.423,2.456,2.446,2.597,2.726,2.714,2.796,2.872,2.826,2.897
Israel,3.9,3.875,4.039,4.128,4.407,4.329,4.121,3.93,4.011,4.129,4.088,4.109
Italy,1.062,1.053,1.047,1.087,1.133,1.164,1.221,1.223,1.21,1.271,1.308,1.289
Japan,3.144,3.133,3.309,3.409,3.461,3.467,3.357,3.252,3.381,3.342,3.482,3.588
Korea,2.352,2.532,2.626,2.831,3,3.123,3.293,3.466,3.744,4.026,4.149,4.292
Russia,1.286,1.151,1.068,1.073,1.116,1.044,1.252,1.13,1.091,1.126,1.133,1.187
Sweden,3.614,3.391,3.387,3.5,3.257,3.495,3.45,3.216,3.249,3.281,3.306,3.161
Chinese Taipei (Taiwan),2.215,2.26,2.324,2.429,2.475,2.676,2.838,2.804,2.896,2.952,3.005,3.004
UK,1.672,1.613,1.63,1.65,1.684,1.687,1.741,1.695,1.691,1.622,1.664,1.7
US,2.553,2.49,2.506,2.55,2.627,2.767,2.819,2.74,2.763,2.699,2.742,
OECD Total,2.155,2.127,2.155,2.187,2.218,2.291,2.336,2.299,2.33,2.336,2.37,2.377
G8 Average,2.0325,1.993875,2.000625,2.027375,2.0495,2.0805,2.155875,2.095875,2.11525,2.119375,2.136,2.075714286
