YEAR,Australia,Canada,Israel,Netherlands,Poland,Spain,UK,US,OECD Total,G7 Average
1981,0.9,1.2,,2.35,,0.39,2.24,2.27,1.85,1.71625
1982,,1.34,,2.42,,0.45,,2.43,1.94,1.856666667
1983,,1.31,,2.43,,0.44,2.06,2.48,1.99,1.921428571
1984,1.02,1.35,,2.43,,0.46,,2.55,2.05,1.82
1985,,1.39,,2.6,,0.51,2.09,2.65,2.15,2.06
1986,1.18,1.43,,2.63,,0.56,2.1,2.63,2.15,1.95375
1987,1.14,1.38,,2.74,,0.59,2.02,2.6,2.16,1.9625
1988,1.16,1.36,,2.73,,0.66,1.96,2.55,2.14,1.9525
1989,,1.43,,2.71,,0.69,1.95,2.51,2.15,2.087142857
1990,1.26,1.49,,2.61,0.86,0.78,1.95,2.55,2.18,2.00625
1991,,1.55,2.24,2.4,0.72,0.8,1.87,2.61,2.1,2.08
1992,1.46,1.59,2.3,2.28,0.74,0.84,1.84,2.54,2.07,1.96875
1993,,1.64,2.4,2.21,0.74,0.84,1.86,2.42,2.02,2.011428571
1994,1.51,1.7,2.45,2.13,0.68,0.77,1.84,2.32,1.97,1.91125
1995,,1.66,2.46,2.13,0.62,0.77,1.79,2.4,1.99,1.972857143
1996,1.58,1.62,2.61,2.14,0.64,0.79,1.71,2.44,2.01,1.9275
1997,,1.62,2.84,2.18,0.64,0.78,1.67,2.47,2.03,1.985714286
1998,1.44,1.72,2.94,2.22,0.66,0.85,1.67,2.5,2.06,1.95
1999,,1.76,3.35,2.34,0.68,0.84,1.76,2.54,2.1,2.065714286
2000,1.48,1.87,3.96,2.4,0.64,0.88,1.73,2.62,2.14,2.02375
2001,,2.04,4.22,2.39,0.62,0.89,1.72,2.64,2.18,2.147142857
2002,1.65,1.99,4.17,2.42,0.56,0.96,1.72,2.55,2.15,2.0875
2003,,1.99,3.94,2.46,0.54,1.02,1.67,2.55,2.16,2.14
2004,1.73,2.01,3.92,2.42,0.56,1.04,1.61,2.49,2.13,2.06625
2005,,1.99,4.09,2.43,0.57,1.1,1.63,2.51,2.16,2.137142857
2006,2,1.96,4.19,2.46,0.55,1.17,1.65,2.55,2.19,2.14625
2007,,1.92,4.48,2.45,0.56,1.23,1.69,2.63,2.22,2.185714286
2008,2.25,1.87,4.39,2.6,0.6,1.32,1.69,2.77,2.29,2.23375
2009,,1.92,4.15,2.73,0.67,1.35,1.75,2.82,2.34,2.287142857
2010,2.2,1.84,3.96,2.72,0.72,1.35,1.69,2.74,2.3,2.23
2011,2.13,1.78,4.1,2.8,0.75,1.32,1.69,2.76,2.33,2.2425
2012,,1.71,4.25,2.88,0.89,1.27,1.63,2.7,2.33,2.251428571
2013,,1.62,4.21,2.85,0.87,1.24,1.63,2.73,2.36,2.255714286
2014,,,,,,,,,..,
