YEAR,Australia,Canada,Israel,Netherlands,Poland,Spain,UK,US,OECD Total,G7 Average
2000,47.94,44.87,52.76,,29.51,49.73,48.31,69.03,64.06,58.865
2001,,50.3,53.64,48.2,30.77,47.18,45.55,67.21,63.4,59.33
2002,51.88,51.48,53.15,,30.06,48.86,43.51,64.54,62.06,58.54
2003,,50.33,51.2,46.99,30.27,48.36,42.19,63.34,61.58,57.925
2004,54.61,50.18,54.52,,30.48,48.04,44.06,62.59,61.55,58.155
2005,,49.34,56.24,46.32,33.35,46.29,42.06,63.31,62.23,55.71285714
2006,58.07,51.15,55.01,,33.05,47.07,45.2,64.28,63.19,56.96285714
2007,,49.19,56.58,48.78,34.26,45.46,45.95,64.88,63.45,57.16285714
2008,61.91,49.46,52.96,,30.46,44.95,45.42,63.52,62.66,57.22571429
2009,,48.52,37.53,45.15,27.1,43.36,44.54,57.9,58.94,55.54142857
2010,,46.96,37.55,,24.41,42.99,44.05,56.93,58.64,55.37428571
2011,,48.42,39.25,51.12,28.12,44.31,45.86,58.52,59.9,56.44
2012,,47.38,35.6,51.56,32.3,45.64,45.61,59.35,60.13,56.31428571
2013,,46.45,,51.13,37.33,46.3,46.55,60.85,60.76,58.908
