YEAR,Australia,Canada,Israel,Netherlands,Poland,Spain,UK,United States,OECD,G7 Average
2000,0.4,0.53,0.62,0.58,0.2,0.26,0.36,0.3,0.34,0.4
2001,,0.57,0.65,0.58,0.2,0.28,0.39,0.32,0.36,0.418333333
2002,0.43,0.63,0.67,0.62,0.19,0.29,0.41,0.35,0.38,0.438571429
2003,,0.65,0.69,0.62,0.17,0.31,0.4,0.36,0.39,0.445
2004,0.47,0.68,0.62,0.6,0.18,0.31,0.4,0.36,0.38,0.445714286
2005,,0.67,0.61,0.63,0.18,0.32,0.42,0.36,0.38,0.445
2006,0.5,0.65,0.62,0.6,0.17,0.32,0.43,0.35,0.38,0.45
2007,,0.65,0.58,0.59,0.19,0.33,0.44,0.35,0.38,0.44
2008,0.54,0.66,0.61,0.63,0.2,0.35,0.45,0.37,0.4,0.47
2009,,0.69,0.55,0.68,0.25,0.38,0.49,0.4,0.43,0.5
2010,0.58,0.68,0.54,0.7,0.27,0.38,0.46,0.4,0.43,0.5
2011,0.6,0.67,0.55,0.62,0.26,0.37,0.44,0.4,0.43,0.5
2012,0.63,0.66,0.61,0.62,0.31,0.35,0.44,0.39,0.43,0.51
2013,,0.65,0.59,0.64,0.25,0.35,0.43,0.39,0.43,0.49
