YEAR,TOTAL_all,NSERC_all,SSHRC_all,TOTAL_fed,NSERC_fed,SSHRC_fed,TOTAL_prov,NSERC_prov,SSHRC_prov,TOTAL_business,NSERC_business,SSHRC_business,TOTAL_higher_ed,NSERC_higher_ed,SSHRC_higher_ed,TOTAL_non-profit,NSERC_non-profit,SSHRC_non-profit
2000,20555.00,19248.00,1307.00,3546.00,3275.00,272.00,856.00,720.00,136.00,9233.00,9211.00,23.00,2892.00,2092.00,800.00,445.00,367.00,77.00
2001,23132.00,21742.00,1390.00,4083.00,3759.00,324.00,1023.00,859.00,163.00,11648.00,11623.00,26.00,2928.00,2150.00,778.00,535.00,436.00,99.00
2002,23534.00,21979.00,1555.00,4234.00,3887.00,346.00,1154.00,967.00,187.00,12131.00,12107.00,24.00,3462.00,2577.00,885.00,629.00,516.00,112.00
2003,24693.00,22944.00,1749.00,4512.00,4055.00,457.00,1356.00,1126.00,230.00,12440.00,12414.00,26.00,3589.00,2669.00,920.00,638.00,523.00,115.00
2004,26680.00,24753.00,1926.00,4635.00,4138.00,497.00,1372.00,1139.00,233.00,13402.00,13374.00,28.00,4147.00,3110.00,1037.00,735.00,604.00,131.00
2005,28022.00,25968.00,2054.00,5242.00,4700.00,543.00,1359.00,1135.00,224.00,13836.00,13807.00,30.00,4341.00,3229.00,1111.00,784.00,638.00,146.00
2006,29079.00,26967.00,2113.00,5214.00,4655.00,559.00,1468.00,1236.00,232.00,14884.00,14851.00,33.00,4435.00,3302.00,1133.00,827.00,671.00,156.00
2007,30038.00,27756.00,2282.00,5482.00,4861.00,621.00,1472.00,1229.00,243.00,14778.00,14741.00,37.00,4574.00,3368.00,1206.00,953.00,777.00,175.00
2008,30751.00,28281.00,2470.00,5709.00,5028.00,682.00,1552.00,1293.00,259.00,15210.00,15173.00,37.00,5055.00,3743.00,1311.00,1015.00,833.00,182.00
2009,30129.00,27690.00,2439.00,5951.00,5253.00,698.00,1657.00,1389.00,268.00,14618.00,14576.00,42.00,4824.00,3567.00,1257.00,944.00,771.00,173.00
2010,30555.00,27925.00,2630.00,6467.00,5668.00,800.00,1697.00,1414.00,284.00,14347.00,14307.00,39.00,4970.00,3649.00,1321.00,1068.00,883.00,185.00
2011,31834.00,29176.00,2659.00,6220.00,5471.00,749.00,1788.00,1497.00,292.00,15586.00,15537.00,49.00,5193.00,3831.00,1362.00,1153.00,947.00,206.00
2012,32707.00,29494.00,3213.00,6054.00,5282.00,772.00,2053.00,1745.00,308.00,15403.00,15356.00,48.00,6146.00,4265.00,1880.00,1191.00,987.00,204.00
2013,31972.00,28693.00,3279.00,6186.00,5405.00,781.00,1877.00,1602.00,276.00,14600.00,14550.00,50.00,6240.00,4282.00,1958.00,1167.00,953.00,214.00
2014,31825.00,28516.00,3309.00,6087.00,5293.00,794.00,1883.00,1615.00,268.00,14445.00,14394.00,50.00,6311.00,4330.00,1981.00,1180.00,964.00,215.00
2015,31604.00,28283.00,3322.00,6199.00,5417.00,782.00,1885.00,1615.00,270.00,14042.00,13991.00,51.00,6374.00,4374.00,2000.00,1191.00,973.00,217.00
