Year,Discovery Expenditures (actual dollars),Discovery Expenditured (Inflation Corrected 2015 Dollars),Discovery Expenditured (Inflation Corrected 2015 Million of Dollars),Innovation Expenditures (actual dollars),Innovation Expenditured (Inflation Corrected 2015 Dollars),Innovation Expenditured (Inflation Corrected 2015 Million of Dollars)
1998,287246000,400070195,400.070195,110650000,154110995,154.110995
1999,303964000,414733303,414.733303,143660000,196011983,196.011983
2000,312126000,415189548,415.189548,142284000,189265968,189.265968
2001,297535000,384920787,384.920787,148885000,192612403,192.612403
2002,313778000,395876505,395.876505,161940000,204310823,204.310823
2003,344975000,426776652,426.776652,173602000,214767100,214.7671
2004,375536000,456161572,456.161572,185036000,224762240,224.76224
2005,400427000,474180066,474.180066,192281000,227696477,227.696477
2006,422427000,489753707,489.753707,192637000,223339618,223.339618
2007,435488000,496308161,496.308161,278814000,317753108,317.753108
2008,431227000,474871947,474.871947,279283000,307549532,307.549532
2009,429667000,476866688,476.866688,295614000,328087726,328.087726
2010,421587000,459880249,459.880249,321399000,350592053,350.592053
2011,423900000,448565835,448.565835,342200000,362111887,362.111887
2012,409400000,427886864,427.886864,342800000,358279474,358.279474
2013,429200000,443843704,443.843704,347500000,359356214,359.356214
2014,403900000,409041129,409.041129,369300000,374000716,374.000716
