Year,Applied,Awarded,Percent of Successful Applications
1998,2685,1990,74.11545624
1999,2645,1892,71.53119093
2000,2963,2111,71.24535943
2001,3089,2461,79.66979605
2002,2947,2466,83.67831693
2003,3001,2401,80.00666445
2004,3043,2297,75.48471903
2005,3245,2439,75.16178737
2006,3285,2399,73.02891933
2007,3617,2544,70.33453138
2008,3434,2450,71.34536983
2009,3172,2057,64.84867591
2010,3279,1917,58.46294602
2011,3429,1986,57.91776028
2012,3430,2135,62.24489796
2013,3455,2026,58.63965268
2014,3134,2005,63.97574984
2015,3159,2059,65.17885407
