YEAR,Australia,Canada,Israel,Netherlands,Poland,Spain,UK,US,OECD Total,G7 Average
2000,13.219,6.895,,14.106,20.118,16.575,8.797,4.833,8.821,10.97057143
2001,,5.991,,14.91,18.945,16.665,5.489,4.755,8.356,9.776142857
2002,10.982,6.451,,15.476,25.893,15.153,4.664,4.566,8.253,9.687571429
2003,,5.924,,17.514,22.584,16.741,4.359,,7.982,10.40783333
2004,10.389,5.515,,16.016,21.009,16.982,4.02,,8,10.39266667
2005,,6.116,,14.686,19.585,18.634,3.745,,7.913,9.972166667
2006,10.001,5.815,,13.417,20.878,17.326,3.518,,7.877,10.00016667
2007,,5.769,,13.665,20.869,17.461,3.366,,7.854,9.906833333
2008,8.942,5.642,,13.799,20.899,17.237,3.451,,7.721,9.536666667
2009,,6.104,,14.524,21.591,18.06,3.397,,7.864,9.772166667
2010,,6.057,,12.958,21.008,18.104,3.359,,8.001,9.664833333
2011,,5.794,0.864,11.024,21.555,17.578,3.012,,7.875,9.6915
2012,,6.062,0.79,11.714,20.272,17.235,3.017,,7.817,9.8045
2013,,,,11.217,18.988,16.776,2.981,,,10.286
