Year,All sectors,Federal government
1998,20917.2845,2311.815504
1999,22467.70759,2420.312926
2000,25704.73887,2665.557917
2001,28055.62444,2594.971058
2002,27876.86626,2629.270838
2003,28276.68602,2420.476436
2004,30007.94775,2382.160438
2005,30742.5819,2709.864832
2006,31165.17843,2704.287371
2007,31387.17406,2668.746606
2008,31445.45776,2655.201482
2009,30680.21972,2820.94039
2010,30380.46398,2965.699008
2011,30734.63716,2549.280982
2012,30459.43126,2391.809954
2013,29511.48283,2546.629195
2014,28743.7718,2352.642845
2015,28283,2428
