Year,Federal government (intramural),Higher education,Business enterprise,Canadian non-profit institutions,Foreign performers,Provincial and municipal governments,Other Canadian performers,Federal Expenditures as a Percentage of GERD 
1998,2311.815504,1056.750699,1035.948519,59.63291343,134.5207582,11.09449552,37.44392239,22.21043559
1999,2420.312926,1245.628919,970.0352258,148.7114481,129.6108952,16.37190255,50.48003285,22.18241438
2000,2665.557917,1419.583199,830.6498118,64.10159319,138.8867853,25.37354731,36.05714617,20.15274314
2001,2593.68067,1632.341317,1105.862853,260.6584554,144.5235,11.61349554,32.25970982,20.6052801
2002,2629.270838,1896.169756,915.7421829,135.7124842,156.0059398,30.44018337,46.92861602,20.8426225
2003,2420.476436,2047.052628,944.035107,382.0507613,138.0312428,22.18359259,35.74023251,21.18200837
2004,2382.160438,2102.120204,848.6067719,293.375484,163.6598774,15.75984005,29.09508932,19.4481477
2005,2709.864832,2336.947654,932.884879,220.1987151,118.386406,10.65477654,27.22887337,20.6792976
2006,2704.287371,2154.18447,737.322796,245.0038131,136.3700469,52.00552637,129.4359767,19.7611896
2007,2668.746606,2433.53504,850.3802744,305.3227049,143.6147538,12.43907316,14.70072283,20.48566076
2008,2655.201482,2432.822799,810.5703017,241.2808717,142.3223575,8.895147344,8.895147344,20.03818818
2009,2820.94039,2430.928208,953.9786631,271.4573431,182.8182107,484.191261,6.647934934,23.31166486
2010,2824.268021,2605.593956,1049.853097,206.7068274,134.9034032,391.6550414,4.351722683,23.76007162
2011,2423.923777,2479.755137,896.4620313,186.4556751,148.532487,122.1969396,6.32053136,20.38319166
2012,2272.01291,2572.538254,846.8411755,176.5973671,148.7135723,59.89852217,3.098199422,19.95999186
2013,2372.808382,2375.893958,983.2704,221.1329874,126.5086393,59.65448033,6.171153138,20.82389433
2014,2377.842533,2272.003845,779.1743442,208.6534143,104.8307009,60.47925052,6.047925052,20.21321363
2015,2324,2301,844,204,100,52,9,20.62723191
