Year,Higher education,Federal government (intramural),Canadian non-profit institutions,Foreign performers,Business enterprise,Other Canadian performers,Provincial and municipal governments,Federal Expenditures as a Percentage of GERD
1998,110.9449552,105.3977075,54.08566567,37.44392239,4.160435821,2.773623881,1.38681194,22.58706468
1999,132.3395456,115.967643,28.65082946,31.37947988,2.728650424,12.27892691,1.364325212,20.25641026
2000,142.8931348,112.1777881,37.39259603,36.05714617,2.670899716,10.68359887,20.03174787,20.7345065
2001,425.8281696,118.7157321,40.00204018,30.96932143,6.451941964,12.90388393,21.93660268,36.61870504
2002,188.9828051,148.3958939,44.39193408,38.05022921,5.073363894,11.41506876,2.536681947,22.25080386
2003,490.5038807,147.8906173,36.97265432,39.43749794,4.929687243,17.25390535,4.929687243,34.41966838
2004,532.1976755,143.0508558,21.82131699,60.61476942,4.849181554,10.9106585,2.424590777,33.22949117
2005,554.0483799,146.7991434,23.67728119,54.45774674,3.551592179,11.8386406,1.18386406,32.71665044
2006,594.0186789,180.2858247,15.02381873,56.62823982,3.467035091,8.089748546,1.155678364,35.21060104
2007,629.8694319,194.5018713,27.13979599,73.50361414,6.784948998,7.91577383,4.523299332,36.5907099
2008,647.1219693,234.6095112,26.68544203,80.0563261,3.335680254,10.00704076,6.671360508,36.68016194
2009,633.7697971,239.3256576,32.13168552,80.88320837,7.75592409,12.18788071,12.18788071,37.67937679
2010,639.7032344,290.4774891,33.72585079,67.45170158,3.263792012,10.87930671,6.527584024,36.76806084
2011,622.572339,230.6993947,51.61767278,72.68611064,9.480797041,13.69448461,5.267109467,35.9157578
2012,617.5744182,235.4631561,74.35678614,93.97871581,24.78559538,10.32733141,1.032733141,31.87052599
2013,601.687431,250.9602276,62.7400569,82.28204184,25.71313808,9.256729707,1.028525523,30.58859408
2014,602.7765302,248.9729146,65.51918806,64.51120056,9.071887578,10.07987509,1.007987509,30.0695074
2015,598,262,63,65,7,10,2,28.80794702
