Expenditures,Science and technology components,Major departments and agencies,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Total expenditures,Research and development,Canada Foundation for Innovation,251.0645733,308.4028259,421.0892032,449.8339609,328.5320503,517.348594,424.1339595,350.5556982,428.0789659,434.331749,514.5912072,464.559055,581.4287583,431.9807197,407.2269535,340,345
Total expenditures,Research and development,Canadian Institutes of Health Research,512.8127456,673.5827411,788.9080856,846.673784,908.0092459,941.1719274,968.4584688,1096.900088,1064.082001,1060.345622,1075.963433,1027.086346,999.6856803,996.6412318,998.9156211,1002,1001
Total expenditures,Research and development,National Research Council Canada,789.2508662,831.010125,910.668819,860.2304239,837.6961134,895.0012291,808.9748546,872.996771,799.4513676,1071.425514,1006.33587,779.5322011,734.2732631,920.5303431,959.6041083,836,856
Total expenditures,Research and development,Natural Sciences and Engineering Research Council of Canada,667.7249291,667.1307991,726.7593779,786.2851152,855.8805442,893.817365,910.6745506,1007.564926,996.2565026,1009.378121,1020.478969,1010.231596,987.2928826,978.1277724,979.7638584,1004,1004
Total expenditures,Research and development,Social Sciences and Humanities Research Council of Canada,140.2222351,419.3762277,187.7144641,495.4335679,538.2591525,565.8870205,604.4197842,610.6454098,621.5484207,614.9339814,603.8015222,596.2367917,591.7560897,587.2880736,592.6966551,594,593
Total expenditures,Research and development,Total Departments and Agencies,5542.116912,6437.747692,6249.115977,6731.48793,6611.859049,7152.906648,7018.434703,7374.108735,7308.475437,8170.312034,8269.361028,7269.664486,7137.218736,7177.0511,6811.979584,6841,6764
Intramural,Research and development,Canada Foundation for Innovation,6.677249291,10.32310714,8.878386815,12.32421811,9.698363108,11.8386406,12.712462,12.43907316,14.45461443,14.40385902,14.14309872,14.74790651,13.42553083,13.3708318,15.11981263,15,15
Intramural,Research and development,Canadian Institutes of Health Research,28.04444702,41.29242857,49.46529797,55.45898148,64.25165559,62.74479516,63.56231,67.84948998,68.93739192,73.12728428,69.62756292,62.15189171,56.80032275,53.4833272,56.44730049,54,52
Intramural,Research and development,National Research Council Canada,590.2688373,640.0326429,722.9543549,695.0859012,671.6116452,744.6504935,663.3593807,704.5038709,638.226822,741.2447452,678.8687385,618.3586514,491.580975,616.0867883,696.5193685,550,598
Intramural,Research and development,Natural Sciences and Engineering Research Council of Canada,33.38624646,40.00204018,44.39193408,40.66991975,43.64263398,44.98683426,46.22713455,47.49464298,51.14709723,50.96750116,46.78101884,46.35056331,48.53845762,44.22659749,42.33547536,46,44
Intramural,Research and development,Social Sciences and Humanities Research Council of Canada,10.68359887,11.61349554,15.22009168,17.25390535,18.18443083,20.12568901,20.80221055,21.48567183,24.4616552,23.26777227,20.67068274,23.17528165,23.75286224,21.59903598,22.17572519,22,22
Extramural,Research and development,Canada Foundation for Innovation,244.3873241,298.0797188,412.2108164,437.5097428,318.8336872,505.5099534,410.2658191,336.9858002,413.6243515,419.92789,500.4481085,449.8111485,568.0032275,418.6098879,392.1071409,325,330
Extramural,Research and development,Canadian Institutes of Health Research,484.7682985,632.2903125,739.4427876,791.2148025,843.7575904,878.4271322,904.8961588,1029.050598,995.1446091,987.2183377,1006.33587,964.9344543,942.8853576,942.1293791,942.4683206,948,949
Extramural,Research and development,National Research Council Canada,198.9820289,192.2678705,187.7144641,166.3769444,166.0844682,151.5345996,145.6154738,168.4929001,161.2245456,330.1807684,328.5550625,161.1735497,242.6922881,304.4435548,263.0847398,286,258
Extramural,Research and development,Natural Sciences and Engineering Research Council of Canada,633.0032328,628.4191473,682.3674438,745.6151955,812.2379103,848.8305307,865.6030944,960.0702832,943.9975119,958.4106197,974.7858809,963.8810325,938.754425,933.9011749,936.4203956,959,960
Extramural,Research and development,Social Sciences and Humanities Research Council of Canada,128.2031864,407.7627321,172.4943724,478.1796626,520.0747216,545.7613315,583.6175737,589.159738,597.0867655,591.6662091,583.1308395,573.06151,568.0032275,565.6890377,570.5209299,572,572
Intramural,Research and development,Intramural as % of total ,50.12048193,42.15273602,44.44895474,38.13621384,38.21048772,39.95365773,41.0999506,38.82840055,39.54054465,37.45592623,37.66609657,36.51644689,35.13239763,36.55775294,38.56170465,37.80149101,38.17267889
Extramural,Research and development,Extramural as % of Total,49.87951807,57.84726398,55.55104526,61.86378616,61.80784745,60.04634227,58.9000494,61.17159945,60.45945535,62.54407377,62.33390343,63.48355311,64.86760237,63.45657782,61.45309263,62.19850899,61.84210526
