Performing sector,Occupational category,Type of science,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Total performing sector,Total personnel,Total sciences,167940,179180,183240,196380,210470,218590,229050,248640,256650,236760,233060,239920,231230,226620
Total performing sector,Total personnel,Natural sciences and engineering,147290,158140,161710,173270,186040,193200,203000,220920,227850,206100,200450,207240,197100,191420
Total performing sector,Total personnel,Social sciences and humanities,20650,21030,21520,23100,24430,25390,26040,27720,28790,30660,32610,32680,34130,35200
Total performing sector,Researchers,Total sciences,107900,114510,115960,123230,130380,136700,140660,151330,157200,150220,158660,165100,161590,159190
Total performing sector,Researchers,Natural sciences and engineering,91590,97900,99000,104890,110900,116370,119940,128940,133860,125140,131310,137710,132680,129560
Total performing sector,Researchers,Social sciences and humanities,16310,16620,16960,18340,19470,20330,20710,22380,23330,25080,27350,27380,28910,29630
Federal government,Total personnel,Total sciences,14710,13740,13970,13580,13720,15250,15140,15630,16270,17280,17080,16960,16290,15480
Federal government,Total personnel,Natural sciences and engineering,14120,13040,13230,12870,13000,14470,14150,14670,15000,15730,15330,15680,14910,14060
Federal government,Total personnel,Social sciences and humanities,580,700,740,710,720,770,990,960,1270,1550,1760,1280,1380,1420
Federal government,Researchers,Total sciences,6130,5610,6190,6110,5980,7090,6750,7100,7320,7670,8010,7850,7870,7550
Federal government,Researchers,Natural sciences and engineering,5840,5250,5800,5740,5620,6710,6320,6640,6590,6850,6780,7070,6930,6620
Federal government,Researchers,Social sciences and humanities,290,360,390,370,360,380,430,460,730,810,1230,790,940,930
Business enterprise,Total personnel,Total sciences,104710,115720,118460,127230,138210,142030,151730,167690,172740,155180,144270,148930,139460,132330
Business enterprise,Total personnel,Natural sciences and engineering,104710,115720,118460,127230,138210,142030,151730,167690,172740,155180,144270,148930,139460,132330
Business enterprise,Researchers,Total sciences,66870,73140,73290,76600,81350,84410,88230,94760,98390,93360,94530,99040,94000,89170
Business enterprise,Researchers,Natural sciences and engineering,66870,73140,73290,76600,81350,84410,88230,94760,98390,93360,94530,99040,94000,89170
Higher education,Total personnel,Total sciences,45150,46300,47340,51880,54730,56950,57270,60140,62480,60180,67590,70010,71320,74730
Higher education,Total personnel,Natural sciences and engineering,25330,26190,26820,29810,31330,32670,32600,33780,35400,31520,37250,39120,39100,41500
Higher education,Total personnel,Social sciences and humanities,19820,20110,20520,22070,23400,24280,24670,26350,27080,28660,30350,30880,32210,33230
Higher education,Researchers,Total sciences,33300,34200,34910,38900,41380,43400,43530,47310,49450,47350,53970,56090,57510,60270
Higher education,Researchers,Natural sciences and engineering,17440,18110,18530,21160,22500,23720,23540,25700,27170,23430,28260,29920,29960,32010
Higher education,Researchers,Social sciences and humanities,15860,16090,16380,17740,18880,19700,19990,21610,22270,23920,25720,26170,27550,28260
Higher education,Percent of researchers in nat sci eng,Natural sciences and engineering,11.8405866,11.45187808,11.45878424,12.21215444,12.0941733,12.27743271,11.59605911,11.63317038,11.92451174,11.36826783,14.09827887,14.4373673,15.20040589,16.72239055
Higher education,Percent of researchers in soc sci and hum,Social sciences and humanities,76.80387409,76.50974798,76.11524164,76.7965368,77.28203029,77.58960221,76.76651306,77.95815296,77.35324766,78.01696021,78.87151181,80.07955936,80.72077351,80.28409091
