YEAR,TOTAL RESEARCHERS,Business Enterprise Researchers,Government Researchers,Higher Education Researchers,private non-profit researchers
2000,107900,66870,7440,33300,300
2001,114510,73140,6860,34200,310
2002,115960,73290,7480,34910,280
2003,123230,76600,7300,38900,430
2004,130380,81350,7190,41380,460
2005,136700,84410,8360,43400,520
2006,140660,88230,8180,43530,720
2007,151330,94760,8730,47310,520
2008,157200,98390,8870,49450,500
2009,150220,93360,9170,47350,340
2010,158660,94530,9610,53970,530
2011,163090,97030,9450,56090,520
2012,156550,88960,9490,57510,590
