Country,Year,GDRE,RE,GDP
Australia,1981,0.9,0.31,
Australia,1982,,,
Australia,1983,,,
Australia,1984,1.02,0.32,
Australia,1985,,,
Australia,1986,1.18,0.33,
Australia,1987,1.14,,
Australia,1988,1.16,0.31,
Australia,1989,,,
Australia,1990,1.26,0.35,
Australia,1991,,,
Australia,1992,1.46,0.41,
Australia,1993,,,
Australia,1994,1.51,0.41,
Australia,1995,,,
Australia,1996,1.58,0.41,
Australia,1997,,,
Australia,1998,1.44,0.38,
Australia,1999,,,
Australia,2000,1.48,0.38,
Australia,2001,,,
Australia,2002,1.65,0.39,
Australia,2003,,,
Australia,2004,1.73,0.39,
Australia,2005,,,
Australia,2006,2,0.43,
Australia,2007,,,
Australia,2008,2.25,0.45,
Australia,2009,,,
Australia,2010,2.2,,
Australia,2011,2.13,,
Australia,2012,,,
Australia,2013,,,
Australia,2014,,,
Israel,1981,,,
Israel,1982,,,
Israel,1983,,,
Israel,1984,,,
Israel,1985,,,
Israel,1986,,,
Israel,1987,,,
Israel,1988,,,
Israel,1989,,,
Israel,1990,,,
Israel,1991,2.24,,
Israel,1992,2.3,,
Israel,1993,2.4,,
Israel,1994,2.45,,
Israel,1995,2.46,,
Israel,1996,2.61,,
Israel,1997,2.84,,
Israel,1998,2.94,0.64,
Israel,1999,3.35,0.69,
Israel,2000,3.96,0.59,
Israel,2001,4.22,0.63,
Israel,2002,4.17,0.64,
Israel,2003,3.94,0.64,
Israel,2004,3.92,0.59,
Israel,2005,4.09,0.59,
Israel,2006,4.19,0.61,
Israel,2007,4.48,0.6,
Israel,2008,4.39,0.57,
Israel,2009,4.15,0.42,
Israel,2010,3.96,0.41,
Israel,2011,4.1,0.42,
Israel,2012,4.25,0.46,
Israel,2013,4.21,0.46,
Israel,2014,,,
Netherlands,1981,1.65,,
Netherlands,1982,1.75,,
Netherlands,1983,1.79,0.45,
Netherlands,1984,1.73,,
Netherlands,1985,1.86,0.27,
Netherlands,1986,1.97,0.35,
Netherlands,1987,2.06,0.34,
Netherlands,1988,2,0.33,
Netherlands,1989,1.91,0.29,
Netherlands,1990,1.95,,
Netherlands,1991,1.85,,
Netherlands,1992,1.78,0.26,
Netherlands,1993,1.8,0.24,
Netherlands,1994,1.84,,
Netherlands,1995,1.85,0.18,
Netherlands,1996,1.87,,
Netherlands,1997,1.88,,
Netherlands,1998,1.77,,
Netherlands,1999,1.85,,
Netherlands,2000,1.8,,
Netherlands,2001,1.82,,
Netherlands,2002,1.77,,
Netherlands,2003,1.81,,
Netherlands,2004,1.82,,
Netherlands,2005,1.81,,
Netherlands,2006,1.77,,
Netherlands,2007,1.7,,
Netherlands,2008,1.65,,
Netherlands,2009,1.69,,
Netherlands,2010,1.72,,
Netherlands,2011,1.9,0.57,
Netherlands,2012,1.95,0.54,
Netherlands,2013,1.98,,
Netherlands,2014,,,
Poland,1981,,,
Poland,1982,,,
Poland,1983,,,
Poland,1984,,,
Poland,1985,,,
Poland,1986,,,
Poland,1987,,,
Poland,1988,,,
Poland,1989,,,
Poland,1990,0.86,,
Poland,1991,0.72,,
Poland,1992,0.74,,
Poland,1993,0.74,,
Poland,1994,0.68,0.19,
Poland,1995,0.62,0.19,
Poland,1996,0.64,0.17,
Poland,1997,0.64,0.18,
Poland,1998,0.66,0.18,
Poland,1999,0.68,0.2,
Poland,2000,0.64,0.21,
Poland,2001,0.62,0.19,
Poland,2002,0.56,0.18,
Poland,2003,0.54,0.18,
Poland,2004,0.56,0.18,
Poland,2005,0.57,0.17,
Poland,2006,0.55,0.16,
Poland,2007,0.56,0.16,
Poland,2008,0.6,0.18,
Poland,2009,0.67,0.2,
Poland,2010,0.72,0.21,
Poland,2011,0.75,0.2,
Poland,2012,0.89,0.23,
Poland,2013,0.87,0.23,
Poland,2014,,,
Spain,1981,0.39,0.06,
Spain,1982,0.45,0.06,
Spain,1983,0.44,0.07,
Spain,1984,0.46,0.08,
Spain,1985,0.51,0.07,
Spain,1986,0.56,0.08,
Spain,1987,0.59,0.08,
Spain,1988,0.66,0.09,
Spain,1989,0.69,0.1,
Spain,1990,0.78,0.11,
Spain,1991,0.8,0.12,
Spain,1992,0.84,0.13,
Spain,1993,0.84,0.15,
Spain,1994,0.77,,
Spain,1995,0.77,0.16,
Spain,1996,0.79,,
Spain,1997,0.78,0.14,
Spain,1998,0.85,,
Spain,1999,0.84,0.15,
Spain,2000,0.88,0.15,
Spain,2001,0.89,0.14,
Spain,2002,0.96,0.15,
Spain,2003,1.02,0.2,
Spain,2004,1.04,0.19,
Spain,2005,1.1,0.19,
Spain,2006,1.17,0.18,
Spain,2007,1.23,0.2,
Spain,2008,1.32,0.22,
Spain,2009,1.35,0.26,
Spain,2010,1.35,0.26,
Spain,2011,1.32,0.26,
Spain,2012,1.27,0.26,
Spain,2013,1.24,0.26,
Spain,2014,,,
USA,1981,2.27,0.3,
USA,1982,2.43,0.32,
USA,1983,2.48,0.33,
USA,1984,2.55,0.33,
USA,1985,2.65,0.34,
USA,1986,2.63,0.37,
USA,1987,2.6,0.38,
USA,1988,2.55,0.38,
USA,1989,2.51,0.39,
USA,1990,2.55,0.39,
USA,1991,2.61,0.44,
USA,1992,2.54,0.42,
USA,1993,2.42,0.42,
USA,1994,2.32,0.41,
USA,1995,2.4,0.39,
USA,1996,2.44,0.4,
USA,1997,2.47,0.43,
USA,1998,2.5,0.39,
USA,1999,2.54,0.4,
USA,2000,2.62,0.42,
USA,2001,2.64,0.45,
USA,2002,2.55,0.47,
USA,2003,2.55,0.49,
USA,2004,2.49,0.47,
USA,2005,2.51,0.47,
USA,2006,2.55,0.45,
USA,2007,2.63,0.47,
USA,2008,2.77,0.49,
USA,2009,2.82,0.51,
USA,2010,2.74,0.5,
USA,2011,2.76,0.47,
USA,2012,2.7,0.45,
USA,2013,2.73,0.48,
USA,2014,,,
Canada,1981,1.2,,
Canada,1982,1.34,,
Canada,1983,1.31,,
Canada,1984,1.35,,
Canada,1985,1.39,,
Canada,1986,1.43,,
Canada,1987,1.38,,
Canada,1988,1.36,,
Canada,1989,1.43,,
Canada,1990,1.49,,
Canada,1991,1.55,,
Canada,1992,1.59,,
Canada,1993,1.64,,
Canada,1994,1.7,,
Canada,1995,1.66,,
Canada,1996,1.62,,
Canada,1997,1.62,,
Canada,1998,1.72,,
Canada,1999,1.76,,
Canada,2000,1.87,,
Canada,2001,2.04,,
Canada,2002,1.99,,
Canada,2003,1.99,,
Canada,2004,2.01,,
Canada,2005,1.99,,
Canada,2006,1.96,,
Canada,2007,1.92,,
Canada,2008,1.87,,
Canada,2009,1.92,,
Canada,2010,1.84,,
Canada,2011,1.78,,
Canada,2012,1.71,,
Canada,2013,1.62,,
Canada,2014,,,
