YEAR,Canada,France,Germany,Italy,Japan,United Kingdom,United States,G7 Average,OECD Average,Australia,Israel,Netherlands,Spain,Poland
2000,7.34,6.7,6.46,2.87,9.85,6.18,7.06,6.637142857,6.08,7.342,,5.137,4.593,3.801
2001,,6.81,6.64,2.84,10.03,6.55,7.28,6.691666667,6.29,,,5.447,4.643,3.956
2002,7.82,7.13,6.71,2.98,9.66,7.07,7.54,6.987142857,6.39,6.382,,5.206,4.709,4.121
2003,,7.37,6.86,2.9,10.08,7.66,8.04,7.151666667,6.72,,,5.227,5.061,4.307
2004,8.34,7.73,6.87,2.96,10.04,8.01,7.81,7.394285714,6.74,6.78,,5.844,5.324,4.429
2005,,7.68,6.92,3.37,10.38,8.61,7.65,7.435,6.91,7.349,,5.739,5.546,4.422
2006,8.46,7.9,7.06,3.54,10.4,8.72,7.71,7.684285714,6.99,7.408,,6.239,5.619,4.107
2007,,8.2,7.21,3.68,10.35,8.62,7.64,7.616666667,6.98,7.892,,5.821,5.761,4.051
2008,8.56,8.38,7.41,3.78,10,8.53,8.07,7.818571429,7.15,8.437,,5.691,6.143,3.929
2009,,8.73,7.76,4.09,10.15,8.82,8.8,8.058333333,7.49,8.511,,5.313,6.695,3.87
2010,,9.06,8,4.18,10.17,8.82,8.48,8.118333333,7.48,8.899,,6.118,6.856,4.197
2011,,9.21,8.15,4.27,10.21,8.6,8.81,8.208333333,7.67,8.88,15.704,6.927,6.804,4.149
2012,,9.56,8.38,4.47,10.03,8.66,8.74,8.306666667,7.77,9.307,17.436,8.313,6.879,4.33
2013,,9.81,8.52,4.85,10.18,8.66,,8.404,,9.37,,8.829,6.866,4.622
