Use?,Location,nation,Country,gender,field_research,Country_work,PhD_Year,what_participant_group,id,class,percent_sum_current,percent_sum_previous,percent_applied_research_current,percent_applied_research_past,percent_fundamental_research_current,percent_fundamental_research_past,percent_use_inspired_research_current,percent_use_inspired_research_past,changed_10yrs,main_reason_change_interest_related,main_reason_change_career_related,main_reason_change_funding_related,main_reason_change_socially_related,main_reason_change_other,main_reason_replied,Main_reason_change_Other_text,view_change_of_type,partnership_outside_current,partnership_outside_before,partnership_change_10yrs,reason_partnership_change_interest,reason_partnership_change_career,reason_partnership_change_socially,reason_partnership_change_funding,reason_partnership_change_other,reason_partnership_change_other_text,view_change_partnership,external_pi_grant_11_15_applied,external_pi_grant_11_15_fundamental,external_pi_grant_11_15_use,external_pi_grant_6_10_applied,external_pi_grant_6_10_fundamental,external_pi_grant_6_10_use,successful_grants_11_15_fundamental,successful_grants_11_15_use,successful_grants_11_15_applied,successful_grants_6_10_fundamental,successful_grants_6_10_use,successful_grants_6_10_applied,practical_applications_important_11_15,practical_applications_important_6_10,include_nonacademia_partners_success_11_15,include_nonacademia_partners_success_6_10,distribution_funding_11_15_sum,distribution_funding_11_15_for_profit,distribution_funding_11_15_government,distribution_funding_11_15_internal,distribution_funding_11_15_nongov,distribution_funding_11_15_other,distribution_funding_6_10_sum,distribution_funding_6_10_for_profit,distribution_funding_6_10_government,distribution_funding_6_10_internal,distribution_funding_6_10_nongov,distribution_funding_6_10_other,distribution_funding_11_15_other_text,distribution_funding_6_10_other_text,success_change_10yrs_fundamental,success_change_10yrs_use,success_change_10yrs_applied,opinion_fundamental_important,high_priority_sum,high_priority_fundamental,high_priority_use_inspired,high_priority_applied,high_priority_no_change,high_priority_replied,available_funding_fundamental,available_funding_use_inspired,available_funding_applied,next_generation,high_priority_comments,next_generation_comments,final_comments,OCED_category
1,British Columbia,Canada,Canada,Female,Social Science / Humanities,0,0,0,1,developed,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,Will stay the same,Will stay the same,Will increase slightly,0,0,0,0,High Income
1,Australia,Australia,Australia,Female,Engineering,0,0,Senior academic researcher with >10 years of experience applying for research grants,2,developed,0,0,NA,NA,NA,NA,NA,NA,Yes,NA,NA,1,NA,NA,1,0,0,Some partnership,No partnership,Yes,NA,1,NA,1,NA,0,0,0,43620,43620,0,43525,0,0,0,0,0,0,0,Very important,Quite important,Somewhat important,Somewhat important,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,Increased,Decreased,Can't comment,0,0,NA,NA,NA,NA,0,Will decrease slightly,Will increase slightly,Will stay the same,0,0,0,0,High Income
1,Israel,Israel,Israel,Male,Medicine and Life Science,0,0,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,3,developed,0,NA,NA,NA,NA,NA,NA,NA,Can't comment (new researcher),NA,NA,NA,NA,NA,0,0,0,No partnership,0,Can't comment (new researcher),NA,NA,NA,NA,NA,0,0,0,43525,43525,0,43525,43525,0,No need for applications for this research type,0,0,0,0,Very important,Mandatory,Somewhat important,Quite important,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,Increased,Stayed the same,Decreased,0,0,NA,NA,NA,NA,0,Will decrease slightly,Will stay the same,Will increase slightly,0,0,0,0,High Income
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,British Columbia,Canada,Canada,Other,Natural Science,Barbados,1988,Non-academic researcher conducting or managing research in industry or government with >10 years of experience,5,developed,100,70,100,NA,0,NA,0,NA,Yes,NA,NA,NA,1,NA,1,0,0,Some partnership,Strong partnership,Yes,NA,1,NA,NA,NA,0,0,43715,43525,43620,43525,43715,43620,20,0,0,10,0,0,Quite important,Quite important,Somewhat important,Not very important,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,sedge,Decreased considerably,0,Stayed the same,0,2,1,1,NA,NA,1,Will decrease slightly,Will decrease slightly,Will decrease slightly,0,0,0,0,High Income
1,British Columbia,Canada,Canada,Female,Natural Science,Antarctica,2007,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,6,developed,100,100,0,0,100,100,0,0,Yes,NA,1,NA,NA,NA,1,0,Slightly positive,Exclusive partnership,Some partnership,Yes,NA,1,NA,NA,NA,0,0,43620,43620,43525,43809,43715,43809,No need for applications for this research type,50,10,40,No need for applications for this research type,No need for applications for this research type,Quite important,Quite important,Quite important,Quite important,0,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,0,0,0,0,Stayed the same,0,1,NA,NA,1,NA,1,0,Will increase slightly,Will decrease slightly,0,0,0,0,High Income
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Netherlands,Netherlands,Netherlands,0,0,0,0,Early career academic researcher with <10 years experience applying for research grants since completion of PhD,8,developed,100,NA,30,NA,40,NA,30,NA,Yes,NA,NA,NA,NA,NA,0,0,0,Strong partnership,0,Yes,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,0,0,0,0,0,0,High Income
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Netherlands,Russia,Netherlands,Male,Medicine and Life Science,Russia,2005,Senior academic researcher with >10 years of experience applying for research grants,10,developed,100,100,0,0,70,100,30,0,Yes,1,NA,NA,1,NA,1,0,Very positive,Some partnership,No partnership,Yes,1,NA,1,1,NA,0,Very positive,0,43620,43525,0,43525,0,50,10,No need for applications for this research type,50,No need for applications for this research type,No need for applications for this research type,Very important,Somewhat important,Quite important,Somewhat important,100,9.090909091,36.36363636,45.45454545,9.090909091,0,0,NA,NA,NA,NA,NA,0,0,Decreased,Increased,Increased,0,2,NA,1,1,NA,1,Will stay the same,Will increase slightly,Will stay the same,0,0,0,0,High Income
1,Netherlands,Germany,Netherlands,Female,Social Science / Humanities,Germany,2005,Senior academic researcher with >10 years of experience applying for research grants,11,developed,90,100,NA,0,NA,80,NA,20,Yes,1,1,NA,NA,NA,1,0,Very positive,No partnership,0,No,NA,NA,NA,NA,NA,0,0,0,43620,43525,0,43620,0,80,90,0,100,0,0,Can't comment,Can't comment,Not at all important,Not at all important,100,20,80,0,0,0,100,0,80,0,20,0,0,0,Stayed the same,Increased considerably,0,0,2,NA,1,1,NA,1,Can't comment,Can't comment,Can't comment,0,0,0,0,High Income
1,Netherlands,United Kingdom,Netherlands,Male,"Physical Science (eg. math, physics, chemistry, computer science)",United Kingdom,2007,Senior academic researcher with >10 years of experience applying for research grants,12,developed,100,100,10,0,70,90,20,10,Yes,1,1,1,NA,NA,1,0,Slightly negative,Some partnership,No partnership,Yes,NA,1,NA,1,NA,0,Neutral,0,16+,43525,0,43809,0,30,0,No need for applications for this research type,40,No need for applications for this research type,No need for applications for this research type,Very important,Quite important,Mandatory,Somewhat important,100,10,80,0,10,0,0,NA,NA,NA,NA,NA,0,0,Decreased,Stayed the same,Increased,0,2,NA,1,1,NA,1,Can't comment,Can't comment,Can't comment,0,0,0,0,High Income
1,Netherlands,Netherlands,Netherlands,Female,Social Science / Humanities,Netherlands,2004,Senior academic researcher with >10 years of experience applying for research grants,13,developed,100,NA,0,NA,100,NA,0,NA,No,NA,NA,NA,NA,NA,0,0,0,No partnership,0,No,NA,NA,NA,NA,NA,0,0,0,43809,0,0,0,0,30,0,0,No need for applications for this research type,0,0,Somewhat important,0,Quite important,0,100,0,80,20,0,0,0,NA,NA,NA,NA,NA,0,0,Decreased considerably,Increased,Increased considerably,0,1,NA,NA,1,NA,1,Will decrease considerably,Will increase slightly,Will increase considerably,0,0,0,0,High Income
