"Location","Country","gender","field_research","Country_work","PhD_Year","what_participant_group"
"British Columbia","Canada","Female","Natural Science","Antarctica","2007","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Israel","Israel","Other","Physical Science (eg. math, physics, chemistry, computer science)","Antarctica","","Senior academic researcher with >10 years of experience applying for research grants"
"Argentina","Argentina","Male","Natural Science","Argentina","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Argentina","Argentina","Male","Medicine and Life Science","Argentina","1971","Senior academic researcher with >10 years of experience applying for research grants"
"","","Female","Medicine and Life Science","Australia","2005","Senior academic researcher with >10 years of experience applying for research grants"
"Netherlands","Netherlands","Male","Interdisciplinary Science","Australia","2011","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"","","Female","Social Science / Humanities","Australia","2011","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"","","Female","Medicine and Life Science","Australia","2001","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Australia","Australia","Male","Medicine and Life Science","Australia","1968","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","Male","Natural Science","Australia","2010","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Australia","Australia","Male","Medicine and Life Science","Australia","1979","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","Female","Interdisciplinary Science","Australia","1998","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","Female","Social Science / Humanities","Australia","2015","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Australia","Australia","Male","Medicine and Life Science","Australia","2008","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Australia","Australia","Male","Natural Science","Australia","1972","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","Male","Interdisciplinary Science","Australia","2015","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Australia","Australia","Male","Natural Science","Australia","2015","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"","","Female","Natural Science","Australia","2001","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Australia","Australia","Male","Social Science / Humanities","Australia","1994","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","Female","Medicine and Life Science","Australia","1996","Senior academic researcher with >10 years of experience applying for research grants"
"United Kingdom","United Kingdom","Male","Social Science / Humanities","Australia","1993","Senior academic researcher with >10 years of experience applying for research grants"
"","","Male","Physical Science (eg. math, physics, chemistry, computer science)","Australia","2015","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Australia","Australia","Female","Social Science / Humanities","Australia","1992","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","Male","Engineering","Australia","1999","Non-academic researcher conducting or managing research in industry or government with >10 years of experience"
"Australia","Australia","Male","Social Science / Humanities","Australia","2007","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Australia","Australia","Male","Medicine and Life Science","Australia","1973","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","Male","Natural Science","Australia","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Australia","Australia","Female","Medicine and Life Science","Australia","2006","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Australia","Australia","Female","Medicine and Life Science","Australia","2015","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future"
"Australia","Australia","Male","Medicine and Life Science","Australia","1995","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","Male","Medicine and Life Science","Australia","1979","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","Female","Natural Science","Australia","1996","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","Male","Medicine and Life Science","Australia","2007","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Australia","Australia","Female","Medicine and Life Science","Australia","1995","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","Male","Medicine and Life Science","Australia","2015","Early career academic researcher with <10 years experience applying for research grants since completion of PhD"
"Australia","Australia","Female","Natural Science","Australia","1982","Senior academic researcher with >10 years of experience applying for research grants"
"Australia","Australia","Male","Medicine and Life Science","Australia","1987","Senior academic researcher with >10 years of experience applying for research grants"
"","","Male","Interdisciplinary Science","Australia","1985","Senior academic researcher with >10 years of experience applying for research grants"
