"Location","Country_work","Country"
"British Columbia","","Canada"
"Australia","","Australia"
"Israel","","Israel"
"Ontario","","Canada"
"British Columbia","Barbados","Canada"
"British Columbia","Antarctica","Canada"
"British Columbia","Canada","Canada"
"Netherlands","","Netherlands"
"Netherlands","Canada","Netherlands"
"Netherlands","Russia","Netherlands"
"Netherlands","Germany","Netherlands"
"Netherlands","United Kingdom","Netherlands"
"Netherlands","Netherlands","Netherlands"
"Netherlands","Canada","Netherlands"
"Netherlands","Brazil","Netherlands"
"","Australia",""
"South Africa","South Africa","South Africa"
"Denmark","Japan","Denmark"
"Morocco","","Morocco"
"Netherlands","United States","Netherlands"
"Netherlands","United Kingdom","Netherlands"
"Netherlands","Netherlands","Netherlands"
"Netherlands","Mauritius","Netherlands"
"Netherlands","Uruguay","Netherlands"
"Netherlands","Turkey","Netherlands"
"Netherlands","Australia","Netherlands"
"United Kingdom","Taiwan","United Kingdom"
"California","United States","United States"
"Netherlands","Indonesia","Netherlands"
"","Morocco",""
"Netherlands","Netherlands","Netherlands"
"France","South Africa","France"
"New Zealand","New Zealand","New Zealand"
"","India",""
"France","France","France"
"","Bangladesh",""
"Switzerland","Switzerland","Switzerland"
"Poland","Poland","Poland"
"Turkey","Turkey","Turkey"
"Spain","South Africa","Spain"
"","Ghana",""
"Norway","Germany","Norway"
"South Africa","South Africa","South Africa"
"Portugal","Portugal","Portugal"
"Malaysia","Malaysia","Malaysia"
"Illinois","United States","United States"
"","Australia",""
"Netherlands","Netherlands","Netherlands"
"Netherlands","Netherlands","Netherlands"
"Italy","Italy","Italy"
"Italy","Italy","Italy"
"Italy","Italy","Italy"
"Italy","Italy","Italy"
"Italy","Italy","Italy"
"United Kingdom","United Kingdom","United Kingdom"
"Italy","Italy","Italy"
"Italy","Italy","Italy"
"Netherlands","Netherlands","Netherlands"
"Italy","Italy","Italy"
"Netherlands","Netherlands","Netherlands"
"Italy","Italy","Italy"
"Italy","Italy","Italy"
"Italy","Italy","Italy"
"United Kingdom","United Kingdom","United Kingdom"
"Italy","Netherlands","Italy"
"United Kingdom","United Kingdom","United Kingdom"
"Italy","Italy","Italy"
"Netherlands","Netherlands","Netherlands"
"Italy","Italy","Italy"
"Belgium","Belgium","Belgium"
"Belgium","Netherlands","Belgium"
"Norway","Norway","Norway"
"Germany","United States","Germany"
