"Country","Country_work","gender","Location","survey","year","info","For.Profit","Government","Internal","Non.governmental","Other","total.funding"
"Canada","Antarctica","Female","British Columbia",6,"6_10","keep",0,10,0,0,0,10
"Netherlands","Germany","Female","Netherlands",11,"6_10","keep",0,80,0,20,0,100
"","Australia","Female","",16,"6_10","keep",0,70,30,0,0,100
"South Africa","South Africa","Male","South Africa",17,"6_10","keep",50,40,10,0,0,100
"Netherlands","United Kingdom","Female","Netherlands",21,"6_10","keep",0,60,20,20,0,100
"Netherlands","Netherlands","Other","Netherlands",22,"6_10","keep",0,50,50,0,0,100
"Netherlands","Uruguay","Male","Netherlands",24,"6_10","keep",20,40,40,0,0,100
"United Kingdom","Taiwan","Male","United Kingdom",27,"6_10","keep",0,100,0,0,0,100
"USA","United States","Male","California",28,"6_10","keep",10,80,10,0,0,100
"Netherlands","Netherlands","Male","Netherlands",31,"6_10","keep",0,100,0,0,0,100
"New Zealand","New Zealand","Male","New Zealand",33,"6_10","keep",0,80,10,0,10,100
"","India","Female","",34,"6_10","keep",0,100,0,0,0,100
"France","France","Female","France",35,"6_10","keep",0,100,0,0,0,100
"Poland","Poland","Female","Poland",38,"6_10","keep",0,40,60,0,0,100
"Turkey","Turkey","Female","Turkey",39,"6_10","keep",10,20,40,10,20,100
"","Ghana","Male","",41,"6_10","keep",0,0,30,70,0,100
"Norway","Germany","Male","Norway",42,"6_10","keep",10,80,10,0,0,100
"South Africa","South Africa","Female","South Africa",43,"6_10","keep",0,0,50,50,0,100
"Malaysia","Malaysia","Female","Malaysia",45,"6_10","keep",10,40,50,0,0,100
"","Australia","Female","",47,"6_10","keep",0,0,0,100,0,100
"Netherlands","Netherlands","Male","Netherlands",49,"6_10","keep",30,40,30,0,0,100
"Italy","Italy","Male","Italy",51,"6_10","keep",0,90,10,0,0,100
"United Kingdom","United Kingdom","Female","United Kingdom",55,"6_10","keep",0,100,0,0,0,100
"Italy","Italy","Male","Italy",57,"6_10","keep",0,0,100,0,0,100
"Netherlands","Netherlands","Female","Netherlands",58,"6_10","keep",0,0,100,0,0,100
"Netherlands","Netherlands","Female","Netherlands",60,"6_10","keep",0,100,0,0,0,100
"Italy","Italy","Male","Italy",62,"6_10","keep",0,100,0,0,0,100
"Italy","Italy","Male","Italy",63,"6_10","keep",0,100,0,0,0,100
"United Kingdom","United Kingdom","Female","United Kingdom",64,"6_10","keep",0,50,50,0,0,100
"United Kingdom","United Kingdom","Male","United Kingdom",66,"6_10","keep",0,0,100,0,0,100
"Italy","Italy","Male","Italy",69,"6_10","keep",0,0,100,0,0,100
"Norway","Norway","Male","Norway",72,"6_10","keep",0,90,10,0,0,100
"Germany","United States","Male","Germany",73,"6_10","keep",0,0,100,0,0,100
"Italy","Italy","Male","Italy",74,"6_10","keep",0,50,50,0,0,100
"Italy","Italy","Male","Italy",75,"6_10","keep",0,40,10,30,20,100
