"Location","Country","gender","view_change_of_type"
"British Columbia","Canada","Female",""
"Australia","Australia","Female",""
"Israel","Israel","Male",""
"Ontario","Canada","Male",""
"British Columbia","Canada","Other",""
"British Columbia","Canada","Female","Slightly positive"
"British Columbia","Canada","Male",""
"Netherlands","Netherlands","",""
"Netherlands","Netherlands","Female",""
"Netherlands","Netherlands","Male","Very positive"
"Netherlands","Netherlands","Female","Very positive"
"Netherlands","Netherlands","Male","Slightly negative"
"Netherlands","Netherlands","Female",""
"Netherlands","Netherlands","Female",""
"Netherlands","Netherlands","Male","Neutral"
"","","Female","Slightly positive"
"South Africa","South Africa","Male","Very positive"
"Denmark","Denmark","Male","Slightly positive"
"Morocco","Morocco","Female",""
"Netherlands","Netherlands","Female",""
"Netherlands","Netherlands","Female","Very negative"
"Netherlands","Netherlands","Other","Very positive"
"Netherlands","Netherlands","Female",""
"Netherlands","Netherlands","Male","Neutral"
"Netherlands","Netherlands","Male",""
"Netherlands","Netherlands","Male","Neutral"
"United Kingdom","United Kingdom","Male","Very positive"
"California","USA","Male","Slightly positive"
"Netherlands","Netherlands","Female","Very positive"
"","","Female",""
"Netherlands","Netherlands","Male",""
"France","France","Male",""
"New Zealand","New Zealand","Male","Very positive"
"","","Female",""
"France","France","Female","Slightly negative"
"","","Female","Very positive"
"Switzerland","Switzerland","Male",""
"Poland","Poland","Female",""
"Turkey","Turkey","Female",""
"Spain","Spain","Male",""
"","","Male",""
"Norway","Norway","Male",""
"South Africa","South Africa","Female","Slightly positive"
"Portugal","Portugal","Male","Slightly positive"
"Malaysia","Malaysia","Female","Slightly negative"
"Illinois","USA","Male",""
"","","Female",""
"Netherlands","Netherlands","Male","Neutral"
"Netherlands","Netherlands","Male","Slightly positive"
"Italy","Italy","Male",""
"Italy","Italy","Male",""
"Italy","Italy","Male","Slightly positive"
"Italy","Italy","Male",""
"Italy","Italy","Female",""
"United Kingdom","United Kingdom","Female",""
"Italy","Italy","Male",""
"Italy","Italy","Male",""
"Netherlands","Netherlands","Female",""
"Italy","Italy","Male",""
"Netherlands","Netherlands","Female",""
