"","Country","gender","Location","partnership_outside","partnership_outside_before"
"2","Australia","Female","Australia","Some partnership","No partnership"
"4","Canada","Male","Ontario","Strong partnership","Some partnership"
"5","Canada","Other","British Columbia","Some partnership","Strong partnership"
"6","Canada","Female","British Columbia","Exclusive partnership","Some partnership"
"10","Netherlands","Male","Netherlands","Some partnership","No partnership"
"12","Netherlands","Male","Netherlands","Some partnership","No partnership"
"14","Netherlands","Female","Netherlands","Some partnership","No partnership"
"15","Netherlands","Male","Netherlands","Some partnership","Some partnership"
"16","","Female","","Some partnership","No partnership"
"18","Denmark","Male","Denmark","Some partnership","Some partnership"
"21","Netherlands","Female","Netherlands","Some partnership","Some partnership"
"22","Netherlands","Other","Netherlands","Some partnership","No partnership"
"24","Netherlands","Male","Netherlands","No partnership","Some partnership"
"26","Netherlands","Male","Netherlands","Some partnership","Strong partnership"
"28","USA","Male","California","Strong partnership","Some partnership"
"29","Netherlands","Female","Netherlands","Some partnership","No partnership"
"33","New Zealand","Male","New Zealand","Some partnership","No partnership"
"35","France","Female","France","Some partnership","No partnership"
"36","","Female","","Some partnership","Some partnership"
"43","South Africa","Female","South Africa","Some partnership","No partnership"
"48","Netherlands","Male","Netherlands","Strong partnership","Some partnership"
"49","Netherlands","Male","Netherlands","Strong partnership","Strong partnership"
"53","Italy","Male","Italy","Some partnership","No partnership"
"59","Italy","Male","Italy","Some partnership","No partnership"
"61","Italy","Male","Italy","Some partnership","No partnership"
"62","Italy","Male","Italy","No partnership","No partnership"
"63","Italy","Male","Italy","Some partnership","No partnership"
"64","United Kingdom","Female","United Kingdom","Strong partnership","Some partnership"
"67","Italy","Male","Italy","Some partnership","Some partnership"
"71","Belgium","Male","Belgium","Some partnership","No partnership"
"72","Norway","Male","Norway","No partnership","Some partnership"
"74","Italy","Male","Italy","Some partnership","No partnership"
"75","Italy","Male","Italy","Some partnership","No partnership"
"76","Italy","Male","Italy","Some partnership","Some partnership"
"77","Italy","Male","Italy","Some partnership","Some partnership"
"86","Netherlands","Female","Netherlands","Strong partnership","Some partnership"
"90","Italy","Female","Italy","No partnership","Some partnership"
"96","Italy","Male","Italy","Some partnership","No partnership"
"97","Italy","Male","Italy","Some partnership","No partnership"
"98","Greece","Female","Greece","Some partnership","No partnership"
"99","Italy","Male","Italy","Strong partnership","Some partnership"
"101","Cyprus","Female","Cyprus","No partnership","Some partnership"
"104","Japan","Male","Japan","Some partnership","No partnership"
"109","Norway","Female","Norway","No partnership","Some partnership"
"112","Netherlands","Male","Netherlands","Strong partnership","Some partnership"
"115","Switzerland","Male","Switzerland","Strong partnership","Some partnership"
"120","USA","Female","Massachusetts","Some partnership","No partnership"
"122","Netherlands","Male","Netherlands","Some partnership","No partnership"
"125","Italy","Male","Italy","Some partnership","Some partnership"
"129","Netherlands","Male","Netherlands","Strong partnership","Some partnership"
"131","Israel","Male","Israel","Some partnership","No partnership"
"133","USA","Male","California","Some partnership","No partnership"
"136","Italy","Female","Italy","Strong partnership","No partnership"
"138","Italy","Female","Italy","Some partnership","No partnership"
"139","United Kingdom","Female","United Kingdom","Strong partnership","No partnership"
"141","Malaysia","Male","Malaysia","Some partnership","Strong partnership"
"149","Canada","Female","Ontario","Some partnership","No partnership"
"151","USA","Male","Illinois","Some partnership","Some partnership"
"158","Netherlands","Male","Netherlands","Some partnership","No partnership"
"159","Italy","Male","Italy","Some partnership","No partnership"
"160","USA","Female","Arizona","Some partnership","No partnership"
"167","Montenegro","Male","Montenegro","Some partnership","Some partnership"
"169","Australia","Male","Australia","Some partnership","No partnership"
"173","Australia","Female","Australia","Some partnership","No partnership"
"178","Australia","Male","Australia","Some partnership","Some partnership"
"182","","Female","","Some partnership","No partnership"
"183","United Kingdom","Male","United Kingdom","Some partnership","No partnership"
"185","Italy","Female","Italy","Strong partnership","Some partnership"
"192","Canada","Male","Ontario","Some partnership","No partnership"
"196","Poland","Female","Poland","No partnership","Some partnership"
"198","USA","Female","Oregon","Strong partnership","Exclusive partnership"
"200","Israel","Male","Israel","Exclusive partnership","Exclusive partnership"
"201","Netherlands","Female","Netherlands","Some partnership","No partnership"
"202","Australia","Female","Australia","Some partnership","No partnership"
"203","Poland","Male","Poland","Some partnership","No partnership"
"207","Poland","Male","Poland","Some partnership","Some partnership"
"208","Poland","Male","Poland","Some partnership","No partnership"
"209","Poland","Male","Poland","Strong partnership","Some partnership"
"223","Japan","Male","Japan","Some partnership","Some partnership"
"224","Kenya","Male","Kenya","Some partnership","Strong partnership"
"230","Israel","Male","Israel","Some partnership","Some partnership"
"233","Israel","Male","Israel","No partnership","Some partnership"
"242","Israel","Male","Israel","Some partnership","Some partnership"
"249","United Kingdom","Male","United Kingdom","Some partnership","No partnership"
"255","","Male","","Strong partnership","Some partnership"
"257","USA","Male","Maryland","Strong partnership","No partnership"
"259","Israel","Male","Israel","Some partnership","Some partnership"
"262","Israel","Male","Israel","Some partnership","No partnership"
"264","Serbia","Female","Serbia","Some partnership","No partnership"
"265","Israel","Male","Israel","Strong partnership","No partnership"
"268","Israel","Female","Israel","Some partnership","No partnership"
"272","Israel","Male","Israel","No partnership","Some partnership"
"274","France","Female","France","Some partnership","No partnership"
"277","Israel","Female","Israel","Strong partnership","No partnership"
"281","Canada","Male","British Columbia","Strong partnership","Some partnership"
"283","Israel","Male","Israel","Some partnership","No partnership"
"286","Israel","Male","Israel","No partnership","Some partnership"
"288","","Female","","Some partnership","No partnership"
"290","France","Male","France","Some partnership","No partnership"
"292","Israel","Male","Israel","Strong partnership","Some partnership"
"294","Israel","Male","Israel","Strong partnership","Strong partnership"
"295","Israel","Male","Israel","Some partnership","Strong partnership"
"298","Greece","Female","Greece","Some partnership","No partnership"
"302","Canada","Female","Quebec","Some partnership","Some partnership"
"303","","Female","","Some partnership","No partnership"
"310","Israel","Male","Israel","Some partnership","Strong partnership"
"312","Israel","Male","Israel","Strong partnership","Some partnership"
"313","USA","Male","Maryland","Some partnership","No partnership"
"317","Israel","Female","Israel","Some partnership","Some partnership"
"320","Israel","Male","Israel","No partnership","No partnership"
"322","Israel","Female","Israel","Some partnership","No partnership"
"324","Israel","Male","Israel","Some partnership","No partnership"
"326","Israel","Male","Israel","No partnership","Some partnership"
"327","USA","Male","Vermont","Strong partnership","Some partnership"
"328","Israel","Male","Israel","Some partnership","No partnership"
"329","Israel","Male","Israel","Strong partnership","Some partnership"
"330","Spain","Male","Spain","Some partnership","Strong partnership"
