"Country","Country_work","nation","gender","what_participant_group","field_research","Location","partnership_change_10yrs","id"
"Australia","","Australia","Female","Senior academic researcher with >10 years of experience applying for research grants","Engineering","Australia","Yes",2
"Israel","","Israel","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Israel","Can't comment (new researcher)",3
"Canada","","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Engineering","Ontario","Yes",4
"Canada","Barbados","Canada","Other","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Natural Science","British Columbia","Yes",5
"Canada","Antarctica","Canada","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","British Columbia","Yes",6
"Canada","Canada","Canada","Male","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Engineering","British Columbia","Can't comment (new researcher)",7
"Netherlands","","Netherlands","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Netherlands","Yes",8
"Netherlands","Canada","Canada","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering","Netherlands","Can't comment (new researcher)",9
"Netherlands","Russia","Russia","Male","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Netherlands","Yes",10
"Netherlands","Germany","Germany","Female","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","Netherlands","No",11
"Netherlands","United Kingdom","United Kingdom","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Netherlands","Yes",12
"Netherlands","Netherlands","Netherlands","Female","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","Netherlands","No",13
"Netherlands","Canada","Canada","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","Netherlands","Yes",14
"Netherlands","Brazil","Brazil","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Netherlands","Yes",15
"","Australia","Australia","Female","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","","Yes",16
"South Africa","South Africa","South Africa","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","South Africa","No",17
"Denmark","Japan","Japan","Male","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Denmark","Yes",18
"Morocco","","Morocco","Female","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Interdisciplinary Science","Morocco","Can't comment (new researcher)",19
"Netherlands","United States","United States","Female","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Physical Science (eg. math, physics, chemistry, computer science)","Netherlands","No",20
"Netherlands","United Kingdom","United Kingdom","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","Netherlands","Yes",21
"Netherlands","Netherlands","Netherlands","Other","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","Netherlands","Yes",22
"Netherlands","Mauritius","Netherlands","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Netherlands","Can't comment (new researcher)",23
"Netherlands","Uruguay","Uruguay","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Other","Netherlands","Yes",24
"Netherlands","Turkey","Turkey","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Netherlands","No",25
"Netherlands","Australia","Australia","Male","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Interdisciplinary Science","Netherlands","Yes",26
"United Kingdom","Taiwan","Taiwan","Male","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science","United Kingdom","No",27
"United States","United States","United States","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","California","Yes",28
"Netherlands","Indonesia","Netherlands","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering","Netherlands","Yes",29
"","Morocco","Morocco","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering","","Can't comment (new researcher)",30
"Netherlands","Netherlands","Netherlands","Male","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities","Netherlands","No",31
"France","South Africa","South Africa","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","France","No",32
"New Zealand","New Zealand","New Zealand","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","New Zealand","Yes",33
"","India","India","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","","No",34
"France","France","France","Female","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science","France","Yes",35
"","Bangladesh","Bangladesh","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering","","Yes",36
"Switzerland","Switzerland","Switzerland","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","Switzerland","No",37
"Poland","Poland","Poland","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","Poland","No",38
"Turkey","Turkey","Turkey","Female","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","Turkey","No",39
"Spain","South Africa","South Africa","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","Spain","Can't comment (new researcher)",40
"","Ghana","Ghana","Male","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","","No",41
"Norway","Germany","Germany","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Norway","No",42
"South Africa","South Africa","South Africa","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","South Africa","Yes",43
"Portugal","Portugal","Portugal","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Portugal","No",44
"Malaysia","Malaysia","Malaysia","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Malaysia","No",45
"United States","United States","United States","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering","Illinois","Can't comment (new researcher)",46
"","Australia","Australia","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","","No",47
"Netherlands","Netherlands","Netherlands","Male","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Medicine and Life Science","Netherlands","Yes",48
"Netherlands","Netherlands","Netherlands","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Netherlands","Yes",49
"Italy","Italy","Italy","Male","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities","Italy","Can't comment (new researcher)",50
"Italy","Italy","Italy","Male","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","Italy","No",51
"Italy","Italy","Italy","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Italy","No",52
"Italy","Italy","Italy","Male","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Italy","Yes",53
"Italy","Italy","Italy","Female","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Medicine and Life Science","Italy","Can't comment (new researcher)",54
"United Kingdom","United Kingdom","United Kingdom","Female","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","United Kingdom","No",55
"Italy","Italy","Italy","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","Italy","No",56
"Italy","Italy","Italy","Male","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","Italy","No",57
"Netherlands","Netherlands","Netherlands","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","Netherlands","No",58
"Italy","Italy","Italy","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)","Italy","Yes",59
"Netherlands","Netherlands","Netherlands","Female","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science","Netherlands","No",60
"Italy","Italy","Italy","Male","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Physical Science (eg. math, physics, chemistry, computer science)","Italy","Yes",61
"Italy","Italy","Italy","Male","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities","Italy","Yes",62
"Italy","Italy","Italy","Male","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Physical Science (eg. math, physics, chemistry, computer science)","Italy","Yes",63
"United Kingdom","United Kingdom","United Kingdom","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","United Kingdom","Yes",64
"Italy","Netherlands","Netherlands","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Interdisciplinary Science","Italy","No",65
