"Country","Country_work","gender","nation","Location","what_participant_group","field_research","id","year","level"
"Australia","","Female","Australia","Australia","Senior academic researcher with >10 years of experience applying for research grants","Engineering",2,"include_nonacademia_partners_success_11_15","Somewhat important"
"Israel","","Male","Israel","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",3,"include_nonacademia_partners_success_11_15","Somewhat important"
"Canada","","Male","Canada","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Engineering",4,"include_nonacademia_partners_success_11_15","Not very important"
"Canada","Barbados","Other","Canada","British Columbia","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Natural Science",5,"include_nonacademia_partners_success_11_15","Somewhat important"
"Canada","Antarctica","Female","Canada","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",6,"include_nonacademia_partners_success_11_15","Quite important"
"Canada","Canada","Male","Canada","British Columbia","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Engineering",7,"include_nonacademia_partners_success_11_15","Not at all important"
"Netherlands","Canada","Female","Canada","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering",9,"include_nonacademia_partners_success_11_15","Somewhat important"
"Netherlands","Russia","Male","Russia","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",10,"include_nonacademia_partners_success_11_15","Quite important"
"Netherlands","Germany","Female","Germany","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",11,"include_nonacademia_partners_success_11_15","Not at all important"
"Netherlands","United Kingdom","Male","United Kingdom","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",12,"include_nonacademia_partners_success_11_15","Mandatory"
"Netherlands","Netherlands","Female","Netherlands","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",13,"include_nonacademia_partners_success_11_15","Quite important"
"Netherlands","Canada","Female","Canada","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",14,"include_nonacademia_partners_success_11_15","Quite important"
"Netherlands","Brazil","Male","Brazil","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",15,"include_nonacademia_partners_success_11_15","Somewhat important"
"","Australia","Female","Australia","","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",16,"include_nonacademia_partners_success_11_15","Not very important"
"South Africa","South Africa","Male","South Africa","South Africa","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",17,"include_nonacademia_partners_success_11_15","Quite important"
"Denmark","Japan","Male","Japan","Denmark","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",18,"include_nonacademia_partners_success_11_15","Quite important"
"Morocco","","Female","Morocco","Morocco","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Interdisciplinary Science",19,"include_nonacademia_partners_success_11_15","Quite important"
"Netherlands","United States","Female","United States","Netherlands","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Physical Science (eg. math, physics, chemistry, computer science)",20,"include_nonacademia_partners_success_11_15","Not very important"
"Netherlands","United Kingdom","Female","United Kingdom","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities",21,"include_nonacademia_partners_success_11_15","Quite important"
"Netherlands","Netherlands","Other","Netherlands","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",22,"include_nonacademia_partners_success_11_15","Quite important"
"Netherlands","Mauritius","Female","Netherlands","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",23,"include_nonacademia_partners_success_11_15","Quite important"
"Netherlands","Uruguay","Male","Uruguay","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Other",24,"include_nonacademia_partners_success_11_15","Not at all important"
"Netherlands","Turkey","Male","Turkey","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",25,"include_nonacademia_partners_success_11_15","Not at all important"
"Netherlands","Australia","Male","Australia","Netherlands","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Interdisciplinary Science",26,"include_nonacademia_partners_success_11_15","Somewhat important"
"United Kingdom","Taiwan","Male","Taiwan","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science",27,"include_nonacademia_partners_success_11_15","Somewhat important"
"United States","United States","Male","United States","California","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",28,"include_nonacademia_partners_success_11_15","Somewhat important"
"Netherlands","Indonesia","Female","Netherlands","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering",29,"include_nonacademia_partners_success_11_15","Quite important"
"","Morocco","Female","Morocco","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering",30,"include_nonacademia_partners_success_11_15","Quite important"
"Netherlands","Netherlands","Male","Netherlands","Netherlands","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities",31,"include_nonacademia_partners_success_11_15","Somewhat important"
"France","South Africa","Male","South Africa","France","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",32,"include_nonacademia_partners_success_11_15","Not very important"
"New Zealand","New Zealand","Male","New Zealand","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",33,"include_nonacademia_partners_success_11_15","Can't comment"
"","India","Female","India","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",34,"include_nonacademia_partners_success_11_15","Not at all important"
"France","France","Female","France","France","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science",35,"include_nonacademia_partners_success_11_15","Mandatory"
