"Country","Country_work","nation","gender","Location","what_participant_group","field_research","practical_applications_important_11_15","practical_applications_important_6_10","id"
"Canada","","Canada","Female","British Columbia","","Social Science / Humanities","","",1
"Australia","","Australia","Female","Australia","Senior academic researcher with >10 years of experience applying for research grants","Engineering","Very important","Quite important",2
"Israel","","Israel","Male","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Very important","Mandatory",3
"Canada","","Canada","Male","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Engineering","Quite important","Very important",4
"Canada","Barbados","Canada","Other","British Columbia","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Natural Science","Quite important","Quite important",5
"Canada","Antarctica","Canada","Female","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","Quite important","Quite important",6
"Canada","Canada","Canada","Male","British Columbia","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Engineering","Somewhat important","Not at all important",7
"Netherlands","","Netherlands","","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","","",8
"Netherlands","Canada","Canada","Female","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering","Very important","Can't comment",9
"Netherlands","Russia","Russia","Male","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Very important","Somewhat important",10
"Netherlands","Germany","Germany","Female","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","Can't comment","Can't comment",11
"Netherlands","United Kingdom","United Kingdom","Male","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Very important","Quite important",12
"Netherlands","Netherlands","Netherlands","Female","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","Somewhat important","",13
"Netherlands","Canada","Canada","Female","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","Very important","Somewhat important",14
"Netherlands","Brazil","Brazil","Male","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","Natural Science","Very important","Somewhat important",15
"","Australia","Australia","Female","","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Quite important","Somewhat important",16
"South Africa","South Africa","South Africa","Male","South Africa","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","Very important","Very important",17
"Denmark","Japan","Japan","Male","Denmark","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science","Quite important","Quite important",18
"Morocco","","Morocco","Female","Morocco","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Interdisciplinary Science","Quite important","Can't comment",19
"Netherlands","United States","United States","Female","Netherlands","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Physical Science (eg. math, physics, chemistry, computer science)","Very important","Can't comment",20
"Netherlands","United Kingdom","United Kingdom","Female","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities","Mandatory","Mandatory",21
"Netherlands","Netherlands","Netherlands","Other","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","Mandatory","Very important",22
"Netherlands","Mauritius","Netherlands","Female","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Mandatory","",23
"Netherlands","Uruguay","Uruguay","Male","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Other","Not at all important","Somewhat important",24
"Netherlands","Turkey","Turkey","Male","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Mandatory","Mandatory",25
"Netherlands","Australia","Australia","Male","Netherlands","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Interdisciplinary Science","Somewhat important","Somewhat important",26
"United Kingdom","Taiwan","Taiwan","Male","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science","Very important","Very important",27
"United States","United States","United States","Male","California","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Mandatory","Somewhat important",28
"Netherlands","Indonesia","Netherlands","Female","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering","Very important","Very important",29
"","Morocco","Morocco","Female","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering","Very important","Can't comment",30
"Netherlands","Netherlands","Netherlands","Male","Netherlands","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities","Somewhat important","Not at all important",31
"France","South Africa","South Africa","Male","France","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Quite important","Quite important",32
"New Zealand","New Zealand","New Zealand","Male","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","Can't comment","Can't comment",33
"","India","India","Female","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science","Not at all important","Not at all important",34
"France","France","France","Female","France","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science","Mandatory","Not at all important",35
"","Bangladesh","Bangladesh","Female","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering","Very important","Can't comment",36
