"Country","Country_work","nation","gender","Location","what_participant_group","field_research","id","year","level"
"Australia","","Australia","Female","Australia","Senior academic researcher with >10 years of experience applying for research grants","Engineering",2,"practical_applications_important_11_15","Very important"
"Israel","","Israel","Male","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",3,"practical_applications_important_11_15","Very important"
"Canada","","Canada","Male","Ontario","Senior academic researcher with >10 years of experience applying for research grants","Engineering",4,"practical_applications_important_11_15","Quite important"
"Canada","Barbados","Canada","Other","British Columbia","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Natural Science",5,"practical_applications_important_11_15","Quite important"
"Canada","Antarctica","Canada","Female","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",6,"practical_applications_important_11_15","Quite important"
"Canada","Canada","Canada","Male","British Columbia","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Engineering",7,"practical_applications_important_11_15","Somewhat important"
"Netherlands","Canada","Canada","Female","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering",9,"practical_applications_important_11_15","Very important"
"Netherlands","Russia","Russia","Male","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",10,"practical_applications_important_11_15","Very important"
"Netherlands","Germany","Germany","Female","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",11,"practical_applications_important_11_15","Can't comment"
"Netherlands","United Kingdom","United Kingdom","Male","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",12,"practical_applications_important_11_15","Very important"
"Netherlands","Netherlands","Netherlands","Female","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",13,"practical_applications_important_11_15","Somewhat important"
"Netherlands","Canada","Canada","Female","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",14,"practical_applications_important_11_15","Very important"
"Netherlands","Brazil","Brazil","Male","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",15,"practical_applications_important_11_15","Very important"
"","Australia","Australia","Female","","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",16,"practical_applications_important_11_15","Quite important"
"South Africa","South Africa","South Africa","Male","South Africa","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",17,"practical_applications_important_11_15","Very important"
"Denmark","Japan","Japan","Male","Denmark","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",18,"practical_applications_important_11_15","Quite important"
"Morocco","","Morocco","Female","Morocco","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Interdisciplinary Science",19,"practical_applications_important_11_15","Quite important"
"Netherlands","United States","United States","Female","Netherlands","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Physical Science (eg. math, physics, chemistry, computer science)",20,"practical_applications_important_11_15","Very important"
"Netherlands","United Kingdom","United Kingdom","Female","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities",21,"practical_applications_important_11_15","Mandatory"
"Netherlands","Netherlands","Netherlands","Other","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",22,"practical_applications_important_11_15","Mandatory"
"Netherlands","Mauritius","Netherlands","Female","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",23,"practical_applications_important_11_15","Mandatory"
"Netherlands","Uruguay","Uruguay","Male","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Other",24,"practical_applications_important_11_15","Not at all important"
"Netherlands","Turkey","Turkey","Male","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",25,"practical_applications_important_11_15","Mandatory"
"Netherlands","Australia","Australia","Male","Netherlands","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Interdisciplinary Science",26,"practical_applications_important_11_15","Somewhat important"
"United Kingdom","Taiwan","Taiwan","Male","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science",27,"practical_applications_important_11_15","Very important"
"United States","United States","United States","Male","California","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",28,"practical_applications_important_11_15","Mandatory"
"Netherlands","Indonesia","Netherlands","Female","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering",29,"practical_applications_important_11_15","Very important"
"","Morocco","Morocco","Female","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering",30,"practical_applications_important_11_15","Very important"
"Netherlands","Netherlands","Netherlands","Male","Netherlands","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities",31,"practical_applications_important_11_15","Somewhat important"
"France","South Africa","South Africa","Male","France","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",32,"practical_applications_important_11_15","Quite important"
"New Zealand","New Zealand","New Zealand","Male","New Zealand","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",33,"practical_applications_important_11_15","Can't comment"
"","India","India","Female","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",34,"practical_applications_important_11_15","Not at all important"
"France","France","France","Female","France","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science",35,"practical_applications_important_11_15","Mandatory"
"","Bangladesh","Bangladesh","Female","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering",36,"practical_applications_important_11_15","Very important"
"Switzerland","Switzerland","Switzerland","Male","Switzerland","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities",37,"practical_applications_important_11_15","Somewhat important"
"Poland","Poland","Poland","Female","Poland","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities",38,"practical_applications_important_11_15","Somewhat important"
"Turkey","Turkey","Turkey","Female","Turkey","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",39,"practical_applications_important_11_15","Somewhat important"
"Spain","South Africa","South Africa","Male","Spain","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities",40,"practical_applications_important_11_15","Very important"
"","Ghana","Ghana","Male","","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",41,"practical_applications_important_11_15","Quite important"
"Norway","Germany","Germany","Male","Norway","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",42,"practical_applications_important_11_15","Quite important"
"South Africa","South Africa","South Africa","Female","South Africa","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",43,"practical_applications_important_11_15","Quite important"
"Portugal","Portugal","Portugal","Male","Portugal","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",44,"practical_applications_important_11_15","Very important"
"Malaysia","Malaysia","Malaysia","Female","Malaysia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",45,"practical_applications_important_11_15","Very important"
"United States","United States","United States","Male","Illinois","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering",46,"practical_applications_important_11_15","Very important"
"","Australia","Australia","Female","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities",47,"practical_applications_important_11_15","Very important"
"Netherlands","Netherlands","Netherlands","Male","Netherlands","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Medicine and Life Science",48,"practical_applications_important_11_15","Can't comment"
"Netherlands","Netherlands","Netherlands","Male","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",49,"practical_applications_important_11_15","Quite important"
"Italy","Italy","Italy","Male","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities",50,"practical_applications_important_11_15","Very important"
"Italy","Italy","Italy","Male","Italy","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",51,"practical_applications_important_11_15","Somewhat important"
"Italy","Italy","Italy","Male","Italy","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",52,"practical_applications_important_11_15","Very important"
"Italy","Italy","Italy","Male","Italy","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",53,"practical_applications_important_11_15","Mandatory"
"Italy","Italy","Italy","Female","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Medicine and Life Science",54,"practical_applications_important_11_15","Very important"
"United Kingdom","United Kingdom","United Kingdom","Female","United Kingdom","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",55,"practical_applications_important_11_15","Quite important"
"Italy","Italy","Italy","Male","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities",56,"practical_applications_important_11_15","Quite important"
"Italy","Italy","Italy","Male","Italy","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",57,"practical_applications_important_11_15","Quite important"
"Netherlands","Netherlands","Netherlands","Female","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",58,"practical_applications_important_11_15","Mandatory"
"Italy","Italy","Italy","Male","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)",59,"practical_applications_important_11_15","Quite important"
"Netherlands","Netherlands","Netherlands","Female","Netherlands","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Natural Science",60,"practical_applications_important_11_15","Quite important"
"Italy","Italy","Italy","Male","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Physical Science (eg. math, physics, chemistry, computer science)",61,"practical_applications_important_11_15","Very important"
"Italy","Italy","Italy","Male","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities",62,"practical_applications_important_11_15","Somewhat important"
"Italy","Italy","Italy","Male","Italy","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Physical Science (eg. math, physics, chemistry, computer science)",63,"practical_applications_important_11_15","Mandatory"
"United Kingdom","United Kingdom","United Kingdom","Female","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities",64,"practical_applications_important_11_15","Very important"
"Italy","Netherlands","Netherlands","Male","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Interdisciplinary Science",65,"practical_applications_important_11_15","Quite important"
"United Kingdom","United Kingdom","United Kingdom","Male","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Physical Science (eg. math, physics, chemistry, computer science)",66,"practical_applications_important_11_15","Quite important"
"Italy","Italy","Italy","Male","Italy","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",67,"practical_applications_important_11_15","Very important"
"Netherlands","Netherlands","Netherlands","Male","Netherlands","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities",68,"practical_applications_important_11_15","Quite important"
"Italy","Italy","Italy","Male","Italy","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",69,"practical_applications_important_11_15","Mandatory"
"Belgium","Belgium","Belgium","Female","Belgium","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities",70,"practical_applications_important_11_15","Very important"
"Belgium","Netherlands","Netherlands","Male","Belgium","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",71,"practical_applications_important_11_15","Very important"
"Norway","Norway","Norway","Male","Norway","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",72,"practical_applications_important_11_15","Mandatory"
"Germany","United States","United States","Male","Germany","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",73,"practical_applications_important_11_15","Not at all important"
"Italy","Italy","Italy","Male","Italy","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science",74,"practical_applications_important_11_15","Mandatory"
"Italy","Italy","Italy","Male","Italy","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",75,"practical_applications_important_11_15","Quite important"
"Italy","Italy","Italy","Male","Italy","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",76,"practical_applications_important_11_15","Not at all important"
"Italy","Italy","Italy","Male","Italy","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",77,"practical_applications_important_11_15","Mandatory"
"Italy","Italy","Italy","Female","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Physical Science (eg. math, physics, chemistry, computer science)",78,"practical_applications_important_11_15","Somewhat important"
"Italy","Italy","Italy","Male","Italy","Senior academic researcher with >10 years of experience applying for research grants","Interdisciplinary Science",79,"practical_applications_important_11_15","Very important"
"Italy","Italy","Italy","Male","Italy","Senior academic researcher with >10 years of experience applying for research grants","Engineering",80,"practical_applications_important_11_15","Very important"
"Finland","Finland","Finland","Female","Finland","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering",81,"practical_applications_important_11_15","Quite important"
"United Kingdom","United Kingdom","United Kingdom","Male","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities",82,"practical_applications_important_11_15","Quite important"
"Belgium","Belgium","Belgium","Male","Belgium","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Social Science / Humanities",83,"practical_applications_important_11_15","Not at all important"
"United Kingdom","United Kingdom","United Kingdom","Female","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities",84,"practical_applications_important_11_15","Can't comment"
"Italy","Italy","Italy","Male","Italy","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",85,"practical_applications_important_11_15","Not at all important"
"Netherlands","Netherlands","Netherlands","Female","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",86,"practical_applications_important_11_15","Quite important"
"Netherlands","","Netherlands","Male","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",87,"practical_applications_important_11_15","Mandatory"
"France","France","France","Male","France","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",88,"practical_applications_important_11_15","Quite important"
"Italy","Italy","Italy","Female","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","Physical Science (eg. math, physics, chemistry, computer science)",89,"practical_applications_important_11_15","Somewhat important"
"Italy","Italy","Italy","Female","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities",90,"practical_applications_important_11_15","Quite important"
"Israel","Israel","Israel","Male","Israel","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities",91,"practical_applications_important_11_15","Somewhat important"
"Argentina","France","France","Male","Argentina","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)",92,"practical_applications_important_11_15","Very important"
"Italy","Italy","Italy","Male","Italy","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",93,"practical_applications_important_11_15","Quite important"
"United Kingdom","United Kingdom","United Kingdom","Male","United Kingdom","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)",94,"practical_applications_important_11_15","Quite important"
"Canada","Canada","Canada","Female","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Social Science / Humanities",95,"practical_applications_important_11_15","Can't comment"
"Italy","Italy","Italy","Male","Italy","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)",96,"practical_applications_important_11_15","Somewhat important"
