"Status","Updated_At","Location","what_participant_group","percent_fundemental_research_current","percent_Use_inspired_Research_current","percent_Applied_Research_current","changed_10yrs","percent_Fundamental_Research_past","percent_Use_inspired_Research_past","percent_Applied_Research_past","Main_reason_change_interest_related","Main_reason_change_Career_related","Main_reason_change_Funding_related","Main_reason_change_Socially_related","Main_reason_change_Other","Main_reason_change_Other_text","view_change_of_type","partnership_outside","partnership_change_10yrs","partnership_outside_before","reason_partnership_change_interest","reason_partnership_change_career","reason_partnership_change_socially","reason_partnership_change_funding","reason_partnership_change_other","reason_partnership_change_other_text","view_change_partnership","external_pi_grant_11_15_fundamental","external_pi_grant_11_15_use","external_pi_grant_11_15_applied","external_pi_grant_6_10_fundamental","external_pi_grant_6_10_use","external_pi_grant_6_10_applied","successful_grants_11_15_fundamental","successful_grants_11_15_use","successful_grants_11_15_applied","successful_grants_6_10_fundamental","successful_grants_6_10_use","successful_grants_6_10_applied","practical_applications_important_11_15","practical_applications_important_6_10","include_nonacademia_partners_success_11_15","include_nonacademia_partners_success_6_10","distribution_funding_11_15_internal","distriution_funding_11_15_government","distriution_funding_11_15_for_profit","distriution_funding_11_15_nongov","distriution_funding_11_15_other","distriution_funding_11_15_other_text","distriution_funding_6_10_internal","distriution_funding_6_10_government","distriution_funding_6_10_for_profit","distriution_funding_6_10_nongov","distriution_funding_6_10_other","distriution_funding_6_10_other_text","success_change_10yrs_fundamental","success_change_10yrs_use","success_change_10yrs_applied","opinion_fundamental_important","high_priority_fundamental","high_priority_use_inspired","high_priority_applied","high_priority_no_change","high_priority_comments","available_funding_fundamental","available_funding_use_inspired","available_funding_applied","next_generation","next_generation_Comments","field_research","PhD_Year","Country_work","gender","Country"
"Incomplete","5/10/16 18:54","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","",""
"Incomplete","5/10/16 22:04","British Columbia","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","5/10/16 22:17","British Columbia","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","","","","","","",NA,NA,NA,1,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","5/10/16 22:25","British Columbia","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","0%","0%","","","","","20%",NA,NA,NA,1,NA,"","","Strong partnership","Yes","Strong partnership",1,NA,NA,NA,NA,"","","3-Jan","9-Jul","","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","5/10/16 23:38","British Columbia","","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","No need for applications for this research type","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","5/11/16 19:34","British Columbia","","","","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","5/16/16 18:04","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","50%","","","","","",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",NA,NA,NA,NA,"","","","","","","","","","","Canada"
"Incomplete","5/16/16 18:14","British Columbia","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","100%","10%","70%","Can't comment (new researcher)","100%","30%","50%",NA,NA,NA,1,NA,"","","Some partnership","Yes","Exclusive partnership",NA,NA,NA,1,NA,"","","9-Jul","6-Apr","3-Jan","3-Jan","6-Apr","9-Jul","10%","No need for applications for this research type","90%","40%","20%","0%","","","","","","","","","","","","","","","","","","","","",NA,1,NA,NA,"","","","","","","Medicine and Life Science","1996","Bosnia and Herzegovina","Female","Canada"
"Incomplete","5/19/16 22:38","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","60%","20%","70%","Yes","90%","20%","0%",NA,NA,1,NA,NA,"","","Strong partnership","Yes","No partnership",NA,NA,NA,1,NA,"","","13-15","13-15","13-15","13-15","9-Jul","0","40%","40%","30%","0%","30%","50%","Very important","Somewhat important","Quite important","Not very important","","","","","","","","","","","","","Decreased","Stayed the same","Increased considerably","",NA,NA,1,NA,"","Will increase considerably","Will increase considerably","Will increase considerably","","","Medicine and Life Science","2006","Brazil","Female","Canada"
"Incomplete","5/27/16 13:09","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","60%","30%","10%","Yes","90%","20%","0%",NA,NA,1,NA,NA,"","Slightly positive","Some partnership","No","Some partnership",NA,NA,NA,1,NA,"","Very positive","9-Jul","3-Jan","0","16+","6-Apr","0","30%","No need for applications for this research type","60%","0%","No need for applications for this research type","20%","Mandatory","Somewhat important","Quite important","Not very important","","","","","","","10%","New researcher (no funding in these years)","0%","0%","0%","","Increased considerably","Stayed the same","Decreased considerably","",1,1,NA,NA,"","Will increase considerably","Will increase slightly","Will increase slightly","","","Medicine and Life Science","2006","Canada","Female","Canada"
