"Location","Country","Country_work","gender","opinion_fundamental_important","high_priority_fundamental","high_priority_use_inspired","high_priority_applied","high_priority_no_change","available_funding_fundamental","available_funding_use_inspired","available_funding_applied","next_generation"
"British Columbia","Canada","","Female","",NA,NA,NA,NA,"Will stay the same","Will stay the same","Will increase slightly",""
"Australia","Australia","","Female","",NA,NA,NA,NA,"Will decrease slightly","Will increase slightly","Will stay the same",""
"Israel","Israel","","Male","",NA,NA,NA,NA,"Will decrease slightly","Will stay the same","Will increase slightly",""
"Ontario","Canada","","Male","",NA,NA,NA,NA,"Will increase considerably","Will increase slightly","Will stay the same",""
"British Columbia","Canada","Barbados","Other","",1,1,NA,NA,"Will decrease slightly","Will decrease slightly","Will decrease slightly",""
"British Columbia","Canada","Antarctica","Female","",NA,NA,1,NA,"","Will increase slightly","Will decrease slightly",""
"British Columbia","Canada","Canada","Male","",NA,1,1,NA,"Will stay the same","Will increase slightly","Will stay the same",""
"Netherlands","Netherlands","","","",NA,NA,NA,NA,"","","",""
"Netherlands","Netherlands","Canada","Female","",NA,1,1,NA,"Can't comment","Can't comment","Can't comment",""
"Netherlands","Netherlands","Russia","Male","",NA,1,1,NA,"Will stay the same","Will increase slightly","Will stay the same",""
"Netherlands","Netherlands","Germany","Female","",NA,1,1,NA,"Can't comment","Can't comment","Can't comment",""
"Netherlands","Netherlands","United Kingdom","Male","",NA,1,1,NA,"Can't comment","Can't comment","Can't comment",""
"Netherlands","Netherlands","Netherlands","Female","",NA,NA,1,NA,"Will decrease considerably","Will increase slightly","Will increase considerably",""
"Netherlands","Netherlands","Canada","Female","",NA,NA,1,NA,"Will increase slightly","Will increase slightly","Will increase slightly",""
"Netherlands","Netherlands","Brazil","Male","",NA,NA,1,NA,"Will decrease considerably","Can't comment","Will increase slightly",""
"","","Australia","Female","",NA,1,1,NA,"Will decrease considerably","Will increase slightly","Will stay the same",""
"South Africa","South Africa","South Africa","Male","",1,1,NA,NA,"Will stay the same","Will increase slightly","Will increase slightly","Will increase slightly"
"Denmark","Denmark","Japan","Male","",1,NA,NA,NA,"Will stay the same","Will decrease slightly","Will increase slightly","Will increase slightly"
"Morocco","Morocco","","Female","",NA,1,1,NA,"Will stay the same","Will increase slightly","Will increase considerably","Will increase slightly"
"Netherlands","Netherlands","United States","Female","",NA,NA,NA,NA,"Can't comment","Can't comment","Can't comment",""
"Netherlands","Netherlands","United Kingdom","Female","",NA,NA,NA,1,"Can't comment","Can't comment","Can't comment",""
"Netherlands","Netherlands","Netherlands","Other","",NA,1,1,NA,"Will decrease considerably","Will increase slightly","Will increase slightly","Will stay the same"
"Netherlands","Netherlands","Mauritius","Female","",NA,NA,1,NA,"Will decrease considerably","Will increase slightly","Will increase considerably","Will decrease slightly"
"Netherlands","Netherlands","Uruguay","Male","",NA,NA,1,NA,"Will decrease slightly","","Will stay the same","Will decrease slightly"
"Netherlands","Netherlands","Turkey","Male","",NA,1,1,NA,"Will stay the same","Will increase considerably","Will increase considerably","Will decrease slightly"
"Netherlands","Netherlands","Australia","Male","",NA,NA,1,NA,"Will decrease slightly","Will decrease slightly","Will stay the same","Will decrease slightly"
"United Kingdom","United Kingdom","Taiwan","Male","",NA,1,1,NA,"Will stay the same","Will decrease considerably","Will decrease slightly","Will decrease considerably"
"California","USA","United States","Male","",NA,1,NA,NA,"Will decrease slightly","Will increase slightly","Will increase slightly","Will stay the same"
"Netherlands","Netherlands","Indonesia","Female","",NA,1,1,NA,"Will decrease slightly","Will increase slightly","Will increase slightly","Will decrease considerably"
"","","Morocco","Female","",NA,1,1,NA,"Will increase slightly","Will increase considerably","Will increase slightly","Will increase considerably"
"Netherlands","Netherlands","Netherlands","Male","",NA,NA,1,NA,"Will decrease slightly","Can't comment","Will increase slightly","Will stay the same"
"France","France","South Africa","Male","",NA,1,1,NA,"Will decrease considerably","Will decrease slightly","Will decrease slightly","Will decrease slightly"
"New Zealand","New Zealand","New Zealand","Male","",NA,1,1,NA,"Will increase slightly","Will increase slightly","Will increase slightly","Will stay the same"
"","","India","Female","",NA,NA,1,NA,"Will decrease considerably","Will increase slightly","Will increase considerably","Will decrease slightly"
"France","France","France","Female","",NA,1,1,NA,"Will decrease considerably","Will increase considerably","Will increase considerably","Will decrease considerably"
"","","Bangladesh","Female","",NA,NA,NA,NA,"Can't comment","Can't comment","Can't comment","Will stay the same"
"Switzerland","Switzerland","Switzerland","Male","",NA,1,NA,NA,"Will decrease slightly","Will increase slightly","Will increase slightly","Will decrease slightly"
"Poland","Poland","Poland","Female","",NA,NA,1,NA,"Will decrease considerably","Will increase slightly","Will increase considerably","Will increase slightly"
"Turkey","Turkey","Turkey","Female","",NA,NA,1,NA,"Will decrease slightly","Will stay the same","Will increase considerably","Will stay the same"
"Spain","Spain","South Africa","Male","",NA,NA,NA,1,"Will decrease considerably","Will decrease considerably","Will decrease considerably","Will increase considerably"
"","","Ghana","Male","",1,NA,NA,1,"Will increase slightly","Will increase slightly","Will stay the same","Will increase slightly"
"Norway","Norway","Germany","Male","",NA,1,NA,NA,"Will stay the same","Will increase slightly","Will increase slightly","Will stay the same"
"South Africa","South Africa","South Africa","Female","",NA,1,1,NA,"Will decrease considerably","Will increase slightly","Will increase considerably","Will increase slightly"
"Portugal","Portugal","Portugal","Male","",NA,1,1,NA,"Will stay the same","Will increase slightly","Will increase slightly","Will increase slightly"
"Malaysia","Malaysia","Malaysia","Female","",NA,NA,NA,1,"Will decrease slightly","Will decrease slightly","Will increase considerably","Will decrease slightly"
"Illinois","USA","United States","Male","",NA,NA,NA,NA,"Will stay the same","Will stay the same","Will stay the same",""
"","","Australia","Female","",NA,NA,NA,NA,"Can't comment","Can't comment","Can't comment",""
"Netherlands","Netherlands","Netherlands","Male","",NA,1,1,NA,"Will decrease slightly","Will increase slightly","Will increase slightly","Will decrease slightly"
"Netherlands","Netherlands","Netherlands","Male","",NA,1,1,NA,"Will increase slightly","Will stay the same","Will stay the same","Will stay the same"
"Italy","Italy","Italy","Male","",NA,NA,1,NA,"Will decrease slightly","Will stay the same","Will increase slightly","Will decrease slightly"
"Italy","Italy","Italy","Male","",NA,NA,NA,1,"Will decrease considerably","Will stay the same","Will stay the same","Will decrease considerably"
"Italy","Italy","Italy","Male","",NA,NA,1,NA,"Will decrease considerably","Will stay the same","Will increase slightly","Will decrease considerably"
"Italy","Italy","Italy","Male","",NA,NA,1,NA,"Will stay the same","Will stay the same","Will stay the same","Will decrease considerably"
"Italy","Italy","Italy","Female","",NA,NA,NA,1,"Will decrease slightly","Will decrease slightly","Will decrease slightly","Will decrease considerably"
"United Kingdom","United Kingdom","United Kingdom","Female","",NA,1,1,NA,"Will decrease slightly","Will increase slightly","Will increase slightly","Will decrease slightly"
"Italy","Italy","Italy","Male","",NA,NA,NA,1,"Will decrease considerably","Will decrease considerably","Will decrease considerably","Will decrease considerably"
"Italy","Italy","Italy","Male","",NA,NA,NA,NA,"Will decrease considerably","Will decrease slightly","Will decrease slightly","Will decrease considerably"
"Netherlands","Netherlands","Netherlands","Female","",NA,NA,1,NA,"Will decrease considerably","Will stay the same","Will increase slightly","Will increase slightly"
"Italy","Italy","Italy","Male","",NA,NA,1,NA,"Will decrease considerably","Will decrease slightly","Will decrease slightly","Will decrease slightly"
"Netherlands","Netherlands","Netherlands","Female","",NA,NA,1,NA,"Will decrease considerably","Can't comment","Will decrease slightly","Will decrease slightly"
"Italy","Italy","Italy","Male","",NA,NA,1,NA,"Will stay the same","Will increase slightly","Will increase considerably","Will decrease slightly"
"Italy","Italy","Italy","Male","",NA,NA,1,NA,"Will decrease slightly","Will stay the same","Will increase slightly","Will decrease slightly"
"Italy","Italy","Italy","Male","",NA,NA,1,NA,"Will decrease considerably","Will decrease slightly","Will increase slightly","Will decrease considerably"
"United Kingdom","United Kingdom","United Kingdom","Female","",NA,1,1,NA,"Will decrease slightly","Will decrease slightly","Will stay the same","Will stay the same"
"Italy","Italy","Netherlands","Male","",NA,1,1,NA,"Will decrease considerably","Will increase slightly","Will increase considerably","Will decrease slightly"
"United Kingdom","United Kingdom","United Kingdom","Male","",NA,NA,1,NA,"Will decrease slightly","Will stay the same","Will increase slightly","Will increase considerably"
"Italy","Italy","Italy","Male","",NA,NA,NA,1,"Can't comment","Can't comment","Can't comment","Will decrease considerably"
"Netherlands","Netherlands","Netherlands","Male","",NA,1,1,NA,"Will decrease considerably","Will increase slightly","Will increase slightly","Will decrease slightly"
"Italy","Italy","Italy","Male","",NA,NA,1,NA,"Will decrease considerably","Will decrease slightly","Will decrease considerably","Will decrease considerably"
"Belgium","Belgium","Belgium","Female","",NA,1,1,NA,"Will decrease slightly","Will increase considerably","Will increase considerably","Will increase considerably"
"Belgium","Belgium","Netherlands","Male","",NA,1,1,NA,"Will decrease considerably","Will increase considerably","Will increase considerably","Will decrease considerably"
"Norway","Norway","Norway","Male","",NA,NA,1,NA,"Will decrease slightly","Will stay the same","Will increase slightly","Will decrease considerably"
"Germany","Germany","United States","Male","",NA,NA,NA,1,"Will decrease considerably","Will decrease considerably","Will decrease considerably","Will decrease considerably"
"Italy","Italy","Italy","Male","",NA,NA,1,NA,"Will decrease considerably","Will decrease considerably","Will decrease slightly","Will decrease considerably"
"Italy","Italy","Italy","Male","",NA,NA,1,NA,"Will stay the same","Will stay the same","Will increase slightly","Will decrease slightly"
"Italy","Italy","Italy","Male","",NA,NA,1,NA,"Will decrease considerably","Will decrease slightly","Will increase considerably","Will decrease considerably"
"Italy","Italy","Italy","Male","",NA,NA,1,NA,"Will decrease considerably","Will decrease considerably","Will decrease slightly","Will decrease considerably"
"Italy","Italy","Italy","Female","",NA,NA,NA,NA,"Will stay the same","Will increase slightly","Will increase slightly","Will decrease slightly"
"Italy","Italy","Italy","Male","",NA,NA,NA,1,"Will stay the same","Can't comment","Can't comment","Will decrease slightly"
"Italy","Italy","Italy","Male","",NA,NA,NA,1,"Will decrease considerably","Will decrease slightly","Will stay the same","Will decrease considerably"
"Finland","Finland","Finland","Female","",NA,1,1,NA,"Will decrease slightly","Will increase considerably","Will increase considerably","Will increase considerably"
"United Kingdom","United Kingdom","United Kingdom","Male","",NA,1,NA,NA,"Will decrease considerably","Will increase considerably","Will stay the same","Will decrease considerably"
"Belgium","Belgium","Belgium","Male","",NA,1,1,NA,"Will decrease slightly","Will increase considerably","Will increase considerably","Will stay the same"
