"Location","nation","Country","gender","field_research","Country_work","PhD_Year","what_participant_group","id","class","percent_applied_research_current","percent_applied_research_past","percent_fundamental_research_current","percent_fundamental_research_past","percent_use_inspired_research_current","percent_use_inspired_research_past","changed_10yrs","main_reason_change_interest_related","main_reason_change_career_related","main_reason_change_funding_related","main_reason_change_socially_related","main_reason_change_other","Main_reason_change_Other_text","view_change_of_type","partnership_outside_current","partnership_outside_before","partnership_change_10yrs","reason_partnership_change_interest","reason_partnership_change_career","reason_partnership_change_socially","reason_partnership_change_funding","reason_partnership_change_other","reason_partnership_change_other_text","view_change_partnership","external_pi_grant_11_15_applied","external_pi_grant_11_15_fundamental","external_pi_grant_11_15_use","external_pi_grant_6_10_applied","external_pi_grant_6_10_fundamental","external_pi_grant_6_10_use","successful_grants_11_15_fundamental","successful_grants_11_15_use","successful_grants_11_15_applied","successful_grants_6_10_fundamental","successful_grants_6_10_use","successful_grants_6_10_applied","practical_applications_important_11_15","practical_applications_important_6_10","include_nonacademia_partners_success_11_15","include_nonacademia_partners_success_6_10","distribution_funding_11_15_for_profit","distribution_funding_11_15_government","distribution_funding_11_15_internal","distribution_funding_11_15_nongov","distribution_funding_11_15_other","distribution_funding_6_10_for_profit","distribution_funding_6_10_government","distribution_funding_6_10_internal","distribution_funding_6_10_nongov","distribution_funding_6_10_other","distribution_funding_11_15_other_text","distribution_funding_6_10_other_text","success_change_10yrs_fundamental","success_change_10yrs_use","success_change_10yrs_applied","opinion_fundamental_important","high_priority_fundamental","high_priority_use_inspired","high_priority_applied","high_priority_no_change","available_funding_fundamental","available_funding_use_inspired","available_funding_applied","next_generation","high_priority_comments","next_generation_comments","final_comments","OCED_category"
"British Columbia","Canada","Canada","Female","Social Science / Humanities","","","",1,"developed",NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA,"","","0","0","0","0","0","0","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,"Will stay the same","Will stay the same","Will increase slightly","","","","","High Income"
"Australia","Australia","Australia","Female","Engineering","","","Senior academic researcher with >10 years of experience applying for research grants",2,"developed","0","0","0","0","0","0","Yes",NA,NA,1,NA,NA,"","","Some partnership","No partnership","Yes",NA,1,NA,1,NA,"","","0","4-6","4-6","0","1-3","0","","","","","","","Very important","Quite important","Somewhat important","Somewhat important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","Increased","Decreased","Can't comment","",NA,NA,NA,NA,"Will decrease slightly","Will increase slightly","Will stay the same","","","","","High Income"
"Israel","Israel","Israel","Male","Medicine and Life Science","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",3,"developed","0",NA,"0",NA,"0",NA,"Can't comment (new researcher)",NA,NA,NA,NA,NA,"","","No partnership","","Can't comment (new researcher)",NA,NA,NA,NA,NA,"","","0","1-3","1-3","0","1-3","1-3","","No need for applications for this research type","","","","","Very important","Mandatory","Somewhat important","Quite important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","Increased","Stayed the same","Decreased","",NA,NA,NA,NA,"Will decrease slightly","Will stay the same","Will increase slightly","","","","","High Income"
"Ontario","Canada","Canada","Male","Engineering","","","Senior academic researcher with >10 years of experience applying for research grants",4,"developed","0",NA,"0",NA,"0",NA,"No",NA,NA,NA,NA,NA,"","","Strong partnership","Some partnership","Yes",1,NA,1,1,NA,"","","0","7-9","7-9","0","4-6","4-6","","","","","","","Quite important","Very important","Not very important","Quite important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","Increased","Stayed the same","Decreased","",NA,NA,NA,NA,"Will increase considerably","Will increase slightly","Will stay the same","","","","Very useful survey!","High Income"
"British Columbia","Canada","Canada","Other","Natural Science","Barbados","1988","Non-academic researcher conducting or managing research in industry or government with >10 years of experience",5,"developed","100","70","0","0","0","0","Yes",NA,NA,NA,1,NA,"","","Some partnership","Strong partnership","Yes",NA,1,NA,NA,NA,"","","7-9","1-3","4-6","1-3","7-9","4-6","20","","0","10","","","Quite important","Quite important","Somewhat important","Not very important",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","sedge","Decreased considerably","","Stayed the same","",1,1,NA,NA,"Will decrease slightly","Will decrease slightly","Will decrease slightly","","","","","High Income"
"British Columbia","Canada","Canada","Female","Natural Science","Antarctica","2007","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",6,"developed","0","0","100","100","0","0","Yes",NA,1,NA,NA,NA,"","Slightly positive","Exclusive partnership","Some partnership","Yes",NA,1,NA,NA,NA,"","","4-6","4-6","1-3","10-12","7-9","10-12","No need for applications for this research type","50","10","40","No need for applications for this research type","No need for applications for this research type","Quite important","Quite important","Quite important","Quite important",NA,NA,NA,NA,NA,"0","10","0","0","0","","","","","Stayed the same","",NA,NA,1,NA,"","Will increase slightly","Will decrease slightly","","","","","High Income"
"British Columbia","Canada","Canada","Male","Engineering","Canada","2016","Non-academic researcher conducting or managing research in industry or government with >10 years of experience",7,"developed","20",NA,"10",NA,"70",NA,"Can't comment (new researcher)",NA,NA,NA,NA,NA,"","","No partnership","","Can't comment (new researcher)",NA,NA,NA,NA,NA,"","","1-3","1-3","1-3","0","0","0","90","80","80","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","Somewhat important","Not at all important","Not at all important","Not at all important",NA,NA,NA,NA,NA,"New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","New researcher (no funding in these years)","","","Decreased","Increased","Stayed the same","",NA,1,1,NA,"Will stay the same","Will increase slightly","Will stay the same","","","","","High Income"
"Netherlands","Netherlands","Netherlands","","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",8,"developed","30",NA,"40",NA,"30",NA,"Yes",NA,NA,NA,NA,NA,"","","Strong partnership","","Yes",NA,NA,NA,NA,NA,"","","0","0","0","0","0","0","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","",NA,NA,NA,NA,"","","","","","","","High Income"
"Netherlands","Canada","Netherlands","Female","Engineering","Canada","2013","Early career academic researcher with <10 years experience applying for research grants since completion of PhD",9,"developed","50",NA,"0",NA,"50",NA,"No",NA,NA,NA,NA,NA,"","","No partnership","","Can't comment (new researcher)",NA,NA,NA,NA,NA,"","","0","0","1-3","0","0","0","No need for applications for this research type","100","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","No need for applications for this research type","Very important","Can't comment","Somewhat important","Can't comment","0","50","50","0","0",NA,NA,NA,NA,NA,"","","Can't comment","Can't comment","Increased","",NA,1,1,NA,"Can't comment","Can't comment","Can't comment","","","","","High Income"
"Netherlands","Russia","Netherlands","Male","Medicine and Life Science","Russia","2005","Senior academic researcher with >10 years of experience applying for research grants",10,"developed","0","0","70","100","30","0","Yes",1,NA,NA,1,NA,"","Very positive","Some partnership","No partnership","Yes",1,NA,1,1,NA,"","Very positive","0","4-6","1-3","0","1-3","0","50","10","No need for applications for this research type","50","No need for applications for this research type","No need for applications for this research type","Very important","Somewhat important","Quite important","Somewhat important","9.09090909090909","36.3636363636364","45.4545454545455","9.09090909090909","0",NA,NA,NA,NA,NA,"","","Decreased","Increased","Increased","",NA,1,1,NA,"Will stay the same","Will increase slightly","Will stay the same","","","","","High Income"
