"Location","Country","Country_work","gender","what_participant_group","field_research","changed_10yrs","Main_reason_change_interest_related","Main_reason_change_Career_related","Main_reason_change_Funding_related","Main_reason_change_Socially_related","Main_reason_change_Other"
"","","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","",NA,NA,NA,NA,NA
"British Columbia","Canada","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","",NA,NA,NA,NA,NA
"British Columbia","Canada","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","",NA,NA,NA,1,NA
"British Columbia","Canada","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","",NA,NA,NA,1,NA
"British Columbia","Canada","","","","","",NA,NA,NA,NA,NA
"British Columbia","Canada","","","","","",NA,NA,NA,NA,NA
"British Columbia","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"British Columbia","Canada","Bosnia and Herzegovina","Female","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Medicine and Life Science","Can't comment (new researcher)",NA,NA,NA,1,NA
"British Columbia","Canada","Brazil","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Yes",NA,NA,1,NA,NA
"British Columbia","Canada","Canada","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","Yes",NA,NA,1,NA,NA
"British Columbia","Canada","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","Yes",NA,NA,NA,NA,NA
"British Columbia","Canada","","","","","",NA,NA,NA,NA,NA
"British Columbia","Canada","","","","","",NA,NA,NA,NA,NA
"British Columbia","Canada","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","Medicine and Life Science","No",NA,NA,NA,NA,NA
"British Columbia","Canada","","","","","Yes",NA,NA,NA,NA,NA
"British Columbia","Canada","","","","","",NA,NA,NA,NA,NA
"British Columbia","Canada","","","","","",NA,NA,NA,NA,NA
"Netherlands","Netherlands","","","","","Yes",NA,NA,NA,NA,NA
"Netherlands","Netherlands","","","","","",NA,NA,NA,NA,NA
"Netherlands","Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",NA,NA,1,NA,NA
"Netherlands","Netherlands","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",NA,NA,NA,NA,NA
"British Columbia","Canada","","","","","",NA,NA,NA,NA,NA
"Netherlands","Netherlands","","","","","",NA,NA,NA,NA,NA
"Netherlands","Netherlands","","","","","",NA,NA,NA,NA,NA
"Netherlands","Netherlands","","","","","",NA,NA,NA,NA,NA
"Netherlands","Netherlands","","","","","",NA,NA,NA,NA,NA
"Netherlands","Netherlands","","","","","",NA,NA,NA,NA,NA
"Netherlands","Netherlands","","","","","",NA,NA,NA,NA,NA
"Netherlands","Netherlands","","","","","",NA,NA,NA,NA,NA
"Netherlands","Netherlands","","","","","",NA,NA,NA,NA,NA
"Netherlands","Netherlands","","","","","",NA,NA,NA,NA,NA
"Oman","Oman","","","","","",NA,NA,NA,NA,NA
"Tunisia","Tunisia","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","",NA,NA,NA,NA,NA
"Netherlands","Netherlands","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"Netherlands","Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
"Germany","Germany","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Can't comment (new researcher)",NA,NA,NA,NA,NA
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","",NA,NA,NA,NA,NA
"Netherlands","Netherlands","","","","","",NA,NA,NA,NA,NA
"Netherlands","Netherlands","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","No",NA,NA,NA,NA,NA
"India","India","","","Senior academic researcher with >10 years of experience applying for research grants","","Yes",1,1,1,1,NA
"Netherlands","Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","","No",NA,NA,NA,NA,NA
