"Country","Country_work","gender","what_participant_group","field_research","Location","partnership_outside","partnership_outside_before"
"Canada","","","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","British Columbia","Strong partnership","Strong partnership"
"Canada","Bosnia and Herzegovina","Female","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Medicine and Life Science","British Columbia","Some partnership","Exclusive partnership"
"Canada","Brazil","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","British Columbia","Strong partnership","No partnership"
"Canada","Canada","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","British Columbia","Some partnership","Some partnership"
"Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","","Netherlands","Some partnership","No partnership"
"Netherlands","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Netherlands","Some partnership","No partnership"
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Quebec","Some partnership","No partnership"
"Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","","Netherlands","No partnership","Some partnership"
"Austria","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Austria","Strong partnership","No partnership"
"Netherlands","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","Netherlands","Some partnership","Some partnership"
"Italy","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","Italy","No partnership","Some partnership"
"Cyprus","","","Senior academic researcher with >10 years of experience applying for research grants","","Cyprus","No partnership","Some partnership"
"Italy","","","Senior academic researcher with >10 years of experience applying for research grants","","Italy","Strong partnership","Strong partnership"
"Italy","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","Italy","Some partnership","No partnership"
"Germany","","","Senior academic researcher with >10 years of experience applying for research grants","","Germany","Some partnership","No partnership"
"Belgium","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Belgium","No partnership","Strong partnership"
"Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","","Netherlands","Strong partnership","Some partnership"
"Italy","","","Senior academic researcher with >10 years of experience applying for research grants","","Italy","No partnership","Strong partnership"
"Poland","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Poland","Some partnership","Some partnership"
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel","Some partnership","Some partnership"
"Italy","","","Senior academic researcher with >10 years of experience applying for research grants","","Italy","Some partnership","No partnership"
"France","","","Senior academic researcher with >10 years of experience applying for research grants","","France","Some partnership","No partnership"
"Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","","Netherlands","Some partnership","No partnership"
"Australia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Australia","No partnership","Some partnership"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Nova Scotia","Some partnership","No partnership"
"Germany","","","Senior academic researcher with >10 years of experience applying for research grants","","Germany","Some partnership","No partnership"
"Serbia","","","Senior academic researcher with >10 years of experience applying for research grants","","Serbia","Some partnership","No partnership"
"France","","","Senior academic researcher with >10 years of experience applying for research grants","","France","Strong partnership","Some partnership"
"Poland","","","Senior academic researcher with >10 years of experience applying for research grants","","Poland","Strong partnership","Some partnership"
"Chile","","","Senior academic researcher with >10 years of experience applying for research grants","","Chile","Strong partnership","Some partnership"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Some partnership","Strong partnership"
"Poland","","","Senior academic researcher with >10 years of experience applying for research grants","","Poland","Some partnership","Some partnership"
"Poland","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Poland","Some partnership","Strong partnership"
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel","Some partnership","No partnership"
"USA","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Nebraska","Some partnership","Some partnership"
"Israel","","","Senior academic researcher with >10 years of experience applying for research grants","","Israel","Some partnership","Some partnership"
"Brazil","","","Senior academic researcher with >10 years of experience applying for research grants","","Brazil","Some partnership","Some partnership"
"Brazil","","","Senior academic researcher with >10 years of experience applying for research grants","","Brazil","No partnership","Some partnership"
"Brazil","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Brazil","Some partnership","No partnership"
"Brazil","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Brazil","Some partnership","Strong partnership"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Some partnership","Some partnership"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","No partnership","Some partnership"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Some partnership","No partnership"
"","","","","","","Some partnership","No partnership"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Strong partnership","Some partnership"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","No partnership","Some partnership"
"Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Ontario","Strong partnership","Some partnership"
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Ontario","Some partnership","Some partnership"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Alberta","Strong partnership","Strong partnership"
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Ontario","Strong partnership","Some partnership"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Some partnership","Strong partnership"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Some partnership","Strong partnership"
"Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","Alberta","Strong partnership","Some partnership"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Alberta","Some partnership","No partnership"
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Ontario","Some partnership","Some partnership"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Strong partnership","Some partnership"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Some partnership","Strong partnership"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Some partnership","No partnership"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Strong partnership","Some partnership"
"","","","Senior academic researcher with >10 years of experience applying for research grants","","","Some partnership","No partnership"
"China","","","Senior academic researcher with >10 years of experience applying for research grants","Physical Science (eg. math, physics, chemistry, computer science)","China","Strong partnership","No partnership"
"Russian Federation","","","Senior academic researcher with >10 years of experience applying for research grants","","Russian Federation","Exclusive partnership","Strong partnership"
"France","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","France","Strong partnership","Some partnership"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Some partnership","No partnership"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Alberta","Some partnership","No partnership"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Some partnership","Strong partnership"
"Canada","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","New Brunswick","No partnership","Strong partnership"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Exclusive partnership","Strong partnership"
"Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","Ontario","Strong partnership","Some partnership"
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Ontario","No partnership","Some partnership"
"Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","Quebec","Some partnership","Strong partnership"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","No partnership","Some partnership"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Quebec","Some partnership","No partnership"
"","","","Senior academic researcher with >10 years of experience applying for research grants","","","Some partnership","Some partnership"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Ontario","Some partnership","Some partnership"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Quebec","Strong partnership","No partnership"
"Canada","","","Senior academic researcher with >10 years of experience applying for research grants","","Quebec","Strong partnership","Strong partnership"
"Canada","Canada","Male","Senior academic researcher with >10 years of experience applying for research grants","Engineering","Quebec","No partnership","Strong partnership"
