"Country","Country_work","gender","Location","what_participant_group","field_research","external_pi_grant_11_15_fundamental","external_pi_grant_11_15_use","external_pi_grant_11_15_applied","external_pi_grant_6_10_fundamental","external_pi_grant_6_10_use","external_pi_grant_6_10_applied"
"","","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","0","0","0","0","0","0"
"Canada","","","British Columbia","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","0","0","0","0","0","0"
"Canada","","","British Columbia","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","0","0","0","0","0","0"
"Canada","","","British Columbia","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","1-3","7-9","0","0","0","0"
"Canada","","","British Columbia","","","0","0","0","0","0","0"
"Canada","","","British Columbia","","","0","0","0","0","0","0"
"Canada","","","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","0","0","0","0","0","0"
"Canada","Bosnia and Herzegovina","Female","British Columbia","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Medicine and Life Science","7-9","4-6","1-3","1-3","4-6","7-9"
"Canada","Brazil","Female","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","13-15","13-15","13-15","13-15","7-9","0"
"Canada","Canada","Female","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","7-9","1-3","0","16+","4-6","0"
"Canada","","","British Columbia","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","0","0","0","0","0","0"
"Canada","","","British Columbia","","","0","0","0","0","0","0"
"Canada","","","British Columbia","","","0","0","0","0","0","0"
"Canada","","","British Columbia","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","Medicine and Life Science","0","0","0","0","0","0"
"Canada","","","British Columbia","","","0","0","0","0","0","0"
"Canada","","","British Columbia","","","0","0","0","0","0","0"
"Canada","","","British Columbia","","","0","0","0","0","0","0"
"Netherlands","","","Netherlands","","","0","0","0","0","0","0"
"Netherlands","","","Netherlands","","","0","0","0","0","0","0"
"Netherlands","","","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","","1-3","1-3","0","0","1-3","1-3"
"Netherlands","","","Netherlands","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","0","0","0","0","0","0"
"Canada","","","British Columbia","","","0","0","0","0","0","0"
"Netherlands","","","Netherlands","","","0","0","0","0","0","0"
"Netherlands","","","Netherlands","","","0","0","0","0","0","0"
"Netherlands","","","Netherlands","","","0","0","0","0","0","0"
"Netherlands","","","Netherlands","","","0","0","0","0","0","0"
"Netherlands","","","Netherlands","","","0","0","0","0","0","0"
"Netherlands","","","Netherlands","","","0","0","0","0","0","0"
"Netherlands","","","Netherlands","","","0","0","0","0","0","0"
"Netherlands","","","Netherlands","","","0","0","0","0","0","0"
"Netherlands","","","Netherlands","","","0","0","0","0","0","0"
"Oman","","","Oman","","","0","0","0","0","0","0"
"Tunisia","","","Tunisia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","0","0","0","0","0","0"
"Netherlands","","","Netherlands","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","0","0","0","0","0","0"
"Netherlands","","","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","","16+","0","0","10-12","0","0"
"Germany","","","Germany","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","1-3","1-3","1-3","1-3","1-3","0"
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","0","0","0","0","0","0"
"Netherlands","","","Netherlands","","","0","0","0","0","0","0"
"Netherlands","","","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","10-12","1-3","0","1-3","0","0"
"India","","","India","Senior academic researcher with >10 years of experience applying for research grants","","0","1-3","1-3","0","1-3","1-3"
"Netherlands","","","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","","0","0","0","0","0","0"
"Netherlands","","","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","0","0","0","0","0","0"
"Jordan","","","Jordan","","","0","0","0","0","0","0"
"Canada","","","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","1-3","7-9","1-3","4-6","1-3","0"
"Canada","","","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","4-6","0","1-3","1-3","0","0"
"","","","","","","0","0","0","0","0","0"
"Netherlands","","","Netherlands","","","0","0","0","0","0","0"
"","","","","","","0","0","0","0","0","0"
"Sweden","","","Sweden","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","1-3","7-9","1-3","1-3","10-12","4-6"
"Netherlands","","","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","","0","0","0","0","0","0"
