"Country","Country_work","gender","Location","what_participant_group","field_research","type.grant","number"
"","","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","external_pi_grant_11_15_fundamental","0"
"Canada","","","British Columbia","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","external_pi_grant_11_15_fundamental","0"
"Canada","","","British Columbia","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","external_pi_grant_11_15_fundamental","0"
"Canada","","","British Columbia","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","","external_pi_grant_11_15_fundamental","1-3"
"Canada","","","British Columbia","","","external_pi_grant_11_15_fundamental","0"
"Canada","","","British Columbia","","","external_pi_grant_11_15_fundamental","0"
"Canada","","","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","0"
"Canada","Bosnia and Herzegovina","Female","British Columbia","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Medicine and Life Science","external_pi_grant_11_15_fundamental","7-9"
"Canada","Brazil","Female","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","external_pi_grant_11_15_fundamental","13-15"
"Canada","Canada","Female","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","external_pi_grant_11_15_fundamental","7-9"
"Canada","","","British Columbia","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","external_pi_grant_11_15_fundamental","0"
"Canada","","","British Columbia","","","external_pi_grant_11_15_fundamental","0"
"Canada","","","British Columbia","","","external_pi_grant_11_15_fundamental","0"
"Canada","","","British Columbia","Non-academic researcher conducting or managing research in industry or government with <10 years of experience","Medicine and Life Science","external_pi_grant_11_15_fundamental","0"
"Canada","","","British Columbia","","","external_pi_grant_11_15_fundamental","0"
"Canada","","","British Columbia","","","external_pi_grant_11_15_fundamental","0"
"Canada","","","British Columbia","","","external_pi_grant_11_15_fundamental","0"
"Netherlands","","","Netherlands","","","external_pi_grant_11_15_fundamental","0"
"Netherlands","","","Netherlands","","","external_pi_grant_11_15_fundamental","0"
"Netherlands","","","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","1-3"
"Netherlands","","","Netherlands","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_11_15_fundamental","0"
"Canada","","","British Columbia","","","external_pi_grant_11_15_fundamental","0"
"Netherlands","","","Netherlands","","","external_pi_grant_11_15_fundamental","0"
"Netherlands","","","Netherlands","","","external_pi_grant_11_15_fundamental","0"
"Netherlands","","","Netherlands","","","external_pi_grant_11_15_fundamental","0"
"Netherlands","","","Netherlands","","","external_pi_grant_11_15_fundamental","0"
"Netherlands","","","Netherlands","","","external_pi_grant_11_15_fundamental","0"
"Netherlands","","","Netherlands","","","external_pi_grant_11_15_fundamental","0"
"Netherlands","","","Netherlands","","","external_pi_grant_11_15_fundamental","0"
"Netherlands","","","Netherlands","","","external_pi_grant_11_15_fundamental","0"
"Netherlands","","","Netherlands","","","external_pi_grant_11_15_fundamental","0"
"Oman","","","Oman","","","external_pi_grant_11_15_fundamental","0"
"Tunisia","","","Tunisia","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_11_15_fundamental","0"
"Netherlands","","","Netherlands","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_11_15_fundamental","0"
"Netherlands","","","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","16+"
"Germany","","","Germany","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_11_15_fundamental","1-3"
"","","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","0"
"Netherlands","","","Netherlands","","","external_pi_grant_11_15_fundamental","0"
"Netherlands","","","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","10-12"
"India","","","India","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"Netherlands","","","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"Netherlands","","","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","0"
"Jordan","","","Jordan","","","external_pi_grant_11_15_fundamental","0"
"Canada","","","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","1-3"
"Canada","","","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","4-6"
"","","","","","","external_pi_grant_11_15_fundamental","0"
"Netherlands","","","Netherlands","","","external_pi_grant_11_15_fundamental","0"
"","","","","","","external_pi_grant_11_15_fundamental","0"
"Sweden","","","Sweden","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","external_pi_grant_11_15_fundamental","1-3"
"Netherlands","","","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"Austria","","","Austria","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","4-6"
"Switzerland","","","Switzerland","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_11_15_fundamental","0"
"Italy","","","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_11_15_fundamental","0"
"Netherlands","","","Netherlands","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","external_pi_grant_11_15_fundamental","1-3"
"Italy","","","Italy","","","external_pi_grant_11_15_fundamental","0"
"Italy","","","Italy","","","external_pi_grant_11_15_fundamental","0"
"Netherlands","","","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"France","","","France","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","0"
"Belgium","","","Belgium","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_11_15_fundamental","0"
"Italy","","","Italy","","","external_pi_grant_11_15_fundamental","0"
"Netherlands","","","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"Cyprus","","","Cyprus","","","external_pi_grant_11_15_fundamental","0"
"Italy","","","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_11_15_fundamental","0"
"Belgium","","","Belgium","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","0"
"Germany","","","Germany","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","0"
"Italy","","","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","0"
"Italy","","","Italy","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","external_pi_grant_11_15_fundamental","4-6"
"Austria","","","Austria","","","external_pi_grant_11_15_fundamental","0"
"Italy","","","Italy","","","external_pi_grant_11_15_fundamental","0"
"Italy","","","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","1-3"
"Italy","","","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_11_15_fundamental","0"
"","","","","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"France","","","France","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_11_15_fundamental","0"
"Italy","","","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","0"
"Italy","","","Italy","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"USA","","","Washington","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_11_15_fundamental","0"
"Italy","","","Italy","","","external_pi_grant_11_15_fundamental","0"
"Cyprus","","","Cyprus","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","1-3"
"Italy","","","Italy","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","7-9"
"France","","","France","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"United Kingdom","","","United Kingdom","","","external_pi_grant_11_15_fundamental","0"
"Greece","","","Greece","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"Netherlands","","","Netherlands","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","0"
"Italy","","","Italy","","","external_pi_grant_11_15_fundamental","0"
"United Kingdom","","","United Kingdom","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","external_pi_grant_11_15_fundamental","0"
"Italy","","","Italy","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"Switzerland","","","Switzerland","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","external_pi_grant_11_15_fundamental","0"
"Italy","","","Italy","Senior academic researcher with >10 years of experience applying for research grants","","external_pi_grant_11_15_fundamental","0"
"Germany","","","Germany","","","external_pi_grant_11_15_fundamental","0"
