"Country","Country_work","gender","Location","what_participant_group","field_research","type","percent"
"Canada","Bosnia and Herzegovina","Female","British Columbia","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Medicine and Life Science","successful_grants_11_15_fundamental","10"
"Canada","Brazil","Female","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","successful_grants_11_15_fundamental","40"
"Canada","Canada","Female","British Columbia","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science","successful_grants_11_15_fundamental","30"
"Netherlands","","","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","20"
"Netherlands","","","Netherlands","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","70"
"Canada","","","Quebec","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_fundamental","80"
"Sweden","","","Sweden","Senior academic researcher with >10 years of experience applying for research grants","Social Science / Humanities","successful_grants_11_15_fundamental","0"
"Switzerland","","","Switzerland","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_11_15_fundamental","0"
"Netherlands","","","Netherlands","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","","successful_grants_11_15_fundamental","0"
"Italy","","","Italy","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_fundamental","70"
"Cyprus","","","Cyprus","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","0"
"Italy","","","Italy","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","10"
"Italy","","","Italy","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","","successful_grants_11_15_fundamental","100"
"Germany","","","Germany","Senior academic researcher with >10 years of experience applying for research grants","","successful_grants_11_15_fundamental","30"
"Israel","","","Israel","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","","successful_grants_11_15_fundamental","20"
