"Location","Country","Country_work","gender","what_participant_group","field_research","percent_fundemental_research_current","percent_Use_inspired_Research_current","percent_Applied_Research_current","percent_Fundamental_Research_past","percent_Use_inspired_Research_past","percent_Applied_Research_past","total_research"
"British Columbia","Canada","Bosnia and Herzegovina","Female","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Medicine and Life Science",55.5555555555556,5.55555555555556,38.8888888888889,55.5555555555556,16.6666666666667,27.7777777777778,180
"British Columbia","Canada","Brazil","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",54.5454545454545,18.1818181818182,63.6363636363636,81.8181818181818,18.1818181818182,0,110
"British Columbia","Canada","Canada","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",54.5454545454545,27.2727272727273,9.09090909090909,81.8181818181818,18.1818181818182,0,110
"British Columbia","Canada","","","","",16.6666666666667,16.6666666666667,8.33333333333333,41.6666666666667,41.6666666666667,16.6666666666667,120
"Netherlands","Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","",20,40,40,30,30,40,100
"India","India","","","Senior academic researcher with >10 years of experience applying for research grants","",20,40,60,10,50,40,100
"Quebec","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",60,30,10,80,20,0,100
"Quebec","Canada","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",80,0,20,100,0,0,100
"Netherlands","Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","",80,20,0,40,20,40,100
"Austria","Austria","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",75,50,25,83.3333333333333,8.33333333333333,8.33333333333333,120
"Switzerland","Switzerland","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",30,10,50,70,10,20,100
"Netherlands","Netherlands","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","",10,10,80,50,10,40,100
"Netherlands","Netherlands","","","Senior academic researcher with >10 years of experience applying for research grants","",80,10,10,100,0,0,100
"Italy","Italy","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","",70,10,20,90,0,10,100
"","","","","Senior academic researcher with >10 years of experience applying for research grants","",60,40,0,90,10,0,100
"Cyprus","Cyprus","","","Senior academic researcher with >10 years of experience applying for research grants","",90,10,0,90,10,0,100
"Italy","Italy","","","Senior academic researcher with >10 years of experience applying for research grants","",27.7777777777778,27.7777777777778,27.7777777777778,33.3333333333333,33.3333333333333,33.3333333333333,180
"Italy","Italy","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",90,10,0,100,0,0,100
"Italy","Italy","","","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","",20,80,0,50,50,0,100
"Italy","Italy","","","Senior academic researcher with >10 years of experience applying for research grants","",10,50,40,20,40,40,100
"Germany","Germany","","","Senior academic researcher with >10 years of experience applying for research grants","",50,40,10,70,30,0,100
"Belgium","Belgium","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",100,0,0,50,0,50,100
"Romania","Romania","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",20,40,40,20,0,80,100
"Italy","Italy","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",50,50,0,100,0,0,100
"Italy","Italy","","","Senior academic researcher with >10 years of experience applying for research grants","",30,30,40,50,0,0,50
"Poland","Poland","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",80,0,20,100,0,0,100
"Italy","Italy","","","Senior academic researcher with >10 years of experience applying for research grants","",30,40,30,60,40,0,100
"Massachusetts","USA","","","Postdoctoral fellow or research assistant with experience applying for research grants, or anticipating the need to apply for grants in the near future","",30,50,20,50,50,0,100
"France","France","","","Senior academic researcher with >10 years of experience applying for research grants","",30,50,20,50,30,20,100
"Australia","Australia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",40,50,10,100,0,0,100
"Australia","Australia","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",50,50,0,80,20,0,100
"New York","USA","","","Senior academic researcher with >10 years of experience applying for research grants","",90,0,10,100,0,0,100
"Nova Scotia","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",40,20,20,80,20,0,100
"France","France","","","Senior academic researcher with >10 years of experience applying for research grants","",50,30,20,80,0,20,100
"Israel","Israel","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",70,30,0,100,0,0,100
"Poland","Poland","","","Senior academic researcher with >10 years of experience applying for research grants","",10,20,70,20,30,50,100
"Chile","Chile","","","Senior academic researcher with >10 years of experience applying for research grants","",31.25,50,12.5,56.25,43.75,0,160
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",100,20,20,100,0,0,100
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",30,30,40,30,30,40,100
"Ontario","Canada","","","Senior academic researcher with >10 years of experience applying for research grants","",60,20,20,40,30,30,100
"Poland","Poland","","","Senior academic researcher with >10 years of experience applying for research grants","",50,35,25,50,25,25,200
"Poland","Poland","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",41.6666666666667,25,16.6666666666667,25,33.3333333333333,41.6666666666667,120
"Israel","Israel","","","Senior academic researcher with >10 years of experience applying for research grants","",10,50,40,0,40,60,100
"Spain","Spain","","","Senior academic researcher with >10 years of experience applying for research grants","",100,0,0,100,0,0,100
"Spain","Spain","","","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","",80,20,0,100,0,0,100
