"nation","gender"
"Antarctica",2
"Argentina",4
"Australia",338
"Austria",3
"Bangladesh",5
"Barbados",1
"Belgium",10
"Benin",1
"Brazil",24
"Cameroon",2
"Canada",1308
"Central African Republic",1
"Chad",1
"Chile",10
"China",1
"Colombia",5
"Cyprus",2
"Denmark",2
"Dominican Republic",1
"Egypt",2
"Estonia",1
"Ethiopia",5
"Finland",5
"France",27
"Gabon",1
"Germany",19
"Ghana",1
"Greece",1
"Hungary",1
"India",52
"Indonesia",3
"Iran",1
"Israel",180
"Italy",52
"Japan",4
"Kenya",3
"Korea, South",1
"Lebanon",1
"Lesotho",1
"Malaysia",6
"Malta",31
"Marshall Islands",1
"Mauritius",1
"Mexico",3
"Montenegro",1
"Morocco",2
"Mozambique",1
"Nepal",2
"Netherlands",49
"New Zealand",113
"Nicaragua",1
"Nigeria",6
"Norway",3
"Philippines",1
"Poland",20
"Portugal",6
"Romania",1
"Russia",2
"Serbia",4
"Singapore",2
"South Africa",7
"Spain",11
"Sudan",1
"Sweden",4
"Switzerland",4
"Taiwan",2
"Thailand",1
"Turkey",4
"Uganda",2
"United Kingdom",184
"United States",228
"Uruguay",121
"Vietnam",3
