"Location","nation","id","Country","Country_work","gender","what_participant_group","field_research","total_research","percent_Applied_Research_current","percent_Applied_Research_past","percent_Fundamental_Research_past","percent_fundemental_research_current","percent_Use_inspired_Research_current","percent_Use_inspired_Research_past","changed","majority_current","majority_past","app.use.fund.current","app.use.fund.past","curr_past.app","curr_past.use","curr_past.fund"
"Netherlands","Brazil",15,"Netherlands","Brazil","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",100,10,0,90,60,30,10,"Yes","fund.current","fund.past",60,90,10,20,-30
"South Africa","South Africa",17,"South Africa","South Africa","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",100,10,10,40,30,60,50,"Yes","use.current","use.past",-70,-60,0,10,-10
"Netherlands","Uruguay",24,"Netherlands","Uruguay","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Other",100,0,10,90,100,0,0,"Yes","fund.current","fund.past",100,90,-10,0,10
"","Bangladesh",36,"","Bangladesh","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering",100,10,10,0,0,90,90,"Yes","use.current","use.past",-100,-100,0,0,0
"South Africa","South Africa",43,"South Africa","South Africa","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",100,0,0,100,80,20,0,"Yes","fund.current","fund.past",80,100,0,20,-20
"Malaysia","Malaysia",45,"Malaysia","Malaysia","Female","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",90,20,0,30,20,60,60,"Yes","use.current","use.past",-80,-60,20,0,-10
"Vietnam","Vietnam",103,"Vietnam","Vietnam","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Physical Science (eg. math, physics, chemistry, computer science)",90,0,0,90,100,0,0,"Yes","fund.current","fund.past",100,90,0,0,10
"India","India",121,"India","India","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Medicine and Life Science",160,50,31.25,37.5,25,25,31.25,"Yes","app.current","fund.past",-75,37.5,18.75,-6.25,-12.5
"Egypt","Egypt",135,"Egypt","Egypt","Male","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",100,20,0,80,50,30,20,"Yes","fund.current","fund.past",50,80,20,10,-30
"Malaysia","Malaysia",141,"Malaysia","Malaysia","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Engineering",100,70,50,50,30,0,0,"Yes","app.current","fund.app.half.past",-70,50,20,0,-20
"Montenegro","Montenegro",167,"Montenegro","Montenegro","Male","Non-academic researcher conducting or managing research in industry or government with >10 years of experience","Medicine and Life Science",100,10,10,90,80,10,0,"Yes","fund.current","fund.past",80,90,0,10,-10
"China","China",174,"China","China","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Interdisciplinary Science",100,10,70,0,60,30,30,"Yes","fund.current","app.past",60,-100,-60,0,60
"Serbia","Serbia",212,"Serbia","Serbia","Female","Senior academic researcher with >10 years of experience applying for research grants","Medicine and Life Science",100,30,10,90,70,0,0,"Yes","fund.current","fund.past",70,90,20,0,-20
"Serbia","Serbia",264,"Serbia","Serbia","Female","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",180,5.55555555555556,11.1111111111111,44.4444444444444,50,44.4444444444444,44.4444444444444,"Yes","fund.current","fund.past",50,44.4444444444444,-5.55555555555554,0,5.5555555555556
"Brazil","Brazil",395,"Brazil","Brazil","Female","","Natural Science",100,30,10,70,50,20,20,"Yes","fund.current","fund.past",50,70,20,0,-20
"Netherlands","Brazil",396,"Netherlands","Brazil","Male","Early career academic researcher with <10 years experience applying for research grants since completion of PhD","Natural Science",100,10,0,90,20,70,10,"Yes","use.current","fund.past",-80,90,10,60,-70
"Brazil","Brazil",397,"Brazil","","Male","Senior academic researcher with >10 years of experience applying for research grants","Natural Science",110,45.4545454545455,45.4545454545455,54.5454545454545,45.4545454545455,0,0,"Yes","fund.current","fund.past",45.4545454545455,54.5454545454545,0,0,-9.09090909090899
